"GROUPS","Start Up","ST"
"BUTTONS","Start-up","CM", 59
"STA","&A - Company Information",""
"STAA","&A - Master Company Defaults","T7DSCO.RWN"
"STAB","&B - Payment Terms","t7smd.rwn"
"STAC","&C - Enter Ship Via Codes","t7smo.rwn"
"STAD","&D - Optional Settings",""
"STADA","&A - Enter Note Types","T7SMN.RWN"
"STADB","&B - Enter Evo Links","EVOLINKS.RWN"
"STADC","&C - RTM Editor","REPORTS.INT"
"STADD","&D - Multi-Language Maintenance","T7MLC.RWN"
"STADE","&E - Change Company Logo","evologo.rwn"
"STB","&B - GL & Accounting Information",""
"STBA","&A - Enter Fiscal Periods","T7AMN.RWN"
"STBB","&B - Enter GL Accounts","T7AMC.RWN"
"STBC","&C - Import GL Accounts",""
"STBCA","&A - Generate Import Header","T7DEGA.RWN"
"STBCB","&B - Import Chart of Accounts","T7DEGB.RWN"
"STBCC","&C - Chart of Accounts Error Report","T7DEGC.RWN"
"STBCD","&D - Edit Imported Chart of Accoutns","T7DEGD.RWN"
"STBCE","&E - Transfer Chart of Accounts to Master Files","T7DEGE.RWN"
"STBD","&D - Posting Defaults","t7dsgl.rwn"
"STBE","&E - Checking Account Defaults","t7dsck.rwn"
"STC","&C - Vendor and Purchasing Info",""
"STCA","&A - Enter Vendors","T7apa.rwn"
"STCB","&B - Import Vendors",""
"STCBA","&A - Generate Import Header","T7DEFA.RWN"
"STCBB","&B - Import Vendors","T7DEFB.RWN"
"STCBC","&C - Vendor Error Report","T7DEFC.RWN"
"STCBD","&D - Edit Imported Vendors","T7DEFD.RWN"
"STCBE","&E - Transfer Vendors to Master Files","T7DEFE.RWN"
"STCC","&C - AP/Vendor Defaults","T7DSAP.RWN"
"STCD","&D - Purchasing Defaults","t7dspo.rwn"
"STD","&D - Customer and Sales Info",""
"STDA","&A - Enter Sales Reps","T7CSA.RWN"
"STDB","B - Enter Tax Codes","T7AME.RWN"
"STDC","&C - Enter Tax Groups","T7SMF.RWN"
"STDD","&D - Enter Customers","T7ARA.RWN"
"STDE","&E - Import Customers",""
"STDEA","&A - Generate Import Header","T7DEEA.RWN"
"STDEB","&B - Import Customers","T7DEEB.RWN"
"STDEC","&C - Customer Error Report","T7DEEC.RWN"
"STDED","&D - Edit Imported Customers","T7DEED.RWN"
"STDEE","&E - Transfer Customers to Master Files","T7DEEE.RWN"
"STDF","&F - Sales Order Defaults","t7dsso.rwn"
"STDG","&G - Sales Commission Defaults","t7dscs.rwn"
"STDH","&H - Customer/AR Defaults","t7dsar.rwn"
"STE","&E - Inventory Info",""
"STEA","&A - Enter Item Classes","T7SMC.RWN"
"STEB","&B - Enter Item Categories","T7SMPA.RWN"
"STEC","&C - User Defined Master Maintenance","T7SMPB.RWN"
"STED","&D - Define Inventory User Defined Fields","T7UDFINV.RWN"
"STEE","&E - Inventory MRP Settings","t7dsmrp.rwn"
"STEF","&F - Enter Inventory Items","T7INB.RWN"
"STEG","&G - Import Inventory",""
"STEGA","&A - Generate Import Header","T7DEBA.RWN"
"STEGB","&B - Import Inventory","T7DEBB.RWN"
"STEGC","&C - Inventory Error Report","T7DEBC.RWN"
"STEGD","&D - Edit Imported Inventory","T7DEBD.RWN"
"STEGE","&E - Transfer Inventory to Master Files","T7DEBE.RWN"
"STEH","&H - Enter Warehouse Locations","T7INLB.RWN
"STEI","&I - Warehouse Control Defaults","t7dswc.rwn"
"STEJ","&J - Enter Warehouse Bin Locations","T7WCA.RWN"
"STEK","&K - Assign Warehouse Control","ISWCB.RUN"
"STEL","&L - Assign Bins to Items","ISWCC.RUN"
"STEM","&M - Set Costing Method","t7inli.rwn"
"STEN","&N - Inventory Defaults","t7dsic.rwn"
"STF","&F - Manufacturing Info",""
"STFA","&A - Enter Shop Calendar","T7SMC.RWN"
"STFB","&B - Enter Employees","t7smg.rwn"
"STFC","&C - Enter Work Centers","t7roc.rwn"
"STFD","&D - Routing Defaults","t7dsro.rwn"
"STFE","&E - Enter Routings","t7roa.rwn"
"STFF","&F - Import Routings",""
"STFFA","&A - Generate Import Header","T7DEDA.RWN"
"STFFB","&B - Import Routings","T7DEDB.RWN"
"STFFC","&C - Routings Error Report","T7DEDC.RWN"
"STFFD","&D - Edit Imported Routings","T7DEDD.RWN"
"STFFE","&E - Transfer Routings to Master Files","T7DEDE.RWN"
"STFG","&G - Enter Bills of Material","t7bma.rwn"
"STFH","&G - Import Bills of Material",""
"STFHA","&A - Generate Import Header","T7DECA.RWN"
"STFHB","&B - Import Bills of Material","T7DECB.RWN"
"STFHC","&C - Bills of Material Error Report","T7DECC.RWN"
"STFHD","&D - Edit Imported Bills of Material","T7DECD.RWN"
"STFHE","&E - Transfer Bills of Material to Master Files","T7DECE.RWN"
"STFI","&I - Work Order Defaults","t7dso.rwn"
"STFJ","&J - Data Collection Defaults","t7dsdc.rwn"
"STG","&G - Payroll",""
"STGA","&A - Enter Payroll Divisions","T7PRM.RWN"
"STGB","&B - Enter Employees","T7pra.rwn"
"STH","&H - System Security",""
"STHA","&A - Enter Users","t7psa.rwn"
