YN_INDEX,TAB,LABEL,OBJ_TYPE,OPTIONS,LINE
1,"Setup","WO-K-M: Require a Reason code","TTASENTER","",313
2,"Setup","WO-K-M: Require a Reason code","TTASENTER","",391
3,"Processing","WOI/HHD/HHI: Suppress Final Qty for this WO [Y/N]","TTASENTER","",1538
4,"Setup","WO-K-M: Require a Reason code","TTASENTER","",540
5,"Setup","WO-K-M: Require a Reason code","TTASENTER","",426
15,"Processing","WOI/HHD/HHI: Suppress Final Qty for this WO [Y/N]","TTASENTER","",1574
15,"Routing","ROA: Recal Parts/Hr when changing # Persons (Y/N/A)","TTASENTER","",17718
16,"Sales Commissions","Prevent S/R from calculating Commissions  [Y/N]","TTASENTER","",27704
17,"Sales Commissions","Prevent S/R from calculating Commissions  [Y/N]","TTASENTER","",27741
18,"Sales Commissions","Prevent S/R from calculating Commissions  [Y/N]","TTASENTER","",27778
19,"Processing","WOI/HHD/HHI: Suppress Final Qty for this WO [Y/N]","TTASENTER","",1392
20,"Processing","WOI/HHD/HHI: Suppress Final Qty for this WO [Y/N]","TTASENTER","",1646
21,"Processing","WOI/HHD/HHI: Suppress Final Qty for this WO [Y/N]","TTASENTER","",1428
22,"Processing","WOI/HHD/HHI: Suppress Final Qty for this WO [Y/N]","TTASENTER","",1465
23,"BOM","BMA/ROA: Prevent edit for Active Status[YNODEPQRS]","TTASENTER","",18022
24,"BOM","BMA/ROA: Prevent edit for Active Status[YNODEPQRS]","TTASENTER","",17986
25,"BOM","BMA/ROA: Prevent edit for Active Status[YNODEPQRS]","TTASENTER","",17950
26,"BOM","BMA/ROA: Prevent edit for Active Status[YNODEPQRS]","TTASENTER","",17914
27,"Setup","WO-K-M: Require a Reason code","TTASENTER","",1000
28,"Features / Options","Suppress Option Headers, Footers, Indents?","TTASENTER","",18377
29,"Setup","SOE: Enter BOL Info for EDI?","TTASENTER","",19349
30,"Setup","SOE: Enter BOL Info for EDI?","TTASENTER","",19385
31,"Processing","PO-A  Allow using expired Vendor Prices (Y,N,A,W)","TTASENTER","",6699
32,"Setup","PO-Q  Allow Entry to Quantity","TTASENTER","",5292
33,"Setup","PO-Q  Allow Entry to Quantity","TTASENTER","",6187
35,"Setup","SOE: Enter BOL Info for EDI?","TTASENTER","",19421
36,"Routing","ROA: Recal Parts/Hr when changing # Persons (Y/N/A)","TTASENTER","",17409
37,"Routing","ROA: Recal Parts/Hr when changing # Persons (Y/N/A)","TTASENTER","",17373
38,"Routing","ROA: Recal Parts/Hr when changing # Persons (Y/N/A)","TTASENTER","",17337
