code,help_title
AD-A,General Ledger Defaults
AD-B,Checking Account Defaults
AD-C,Accounts Payable Defaults
AM-A,Reset General Ledger Close Date
AM-B,Fiscal Year End Routine
AM-C,Enter General Ledger Accounts
AM-D,Enter General Ledger Departments
AM-E,Format Standard Financial Statements
AM-F,Format Custom Financial Statements
AM-G,Consolidate Financials
AM-H,Change Account Codes
AM-I,Consolidate Gl Detail
AM-J,Archive Purge Ap History
AM-K,Archive Purge Ar History
AM-N,Maintain Gl Fiscal Periods
AM-O,Archive Purge Vendor Data
AM-P,Archive Purge Customer Data
AM-Q,Enter Budget Information
AM-R,Out Of Balance Report
AM-S,Purge Or Archive Gl Journ
AM-T,Archive Gl Transaction De
AP-A,Enter Vendors
AP-B,Enter Vouchers
AP-C,Enter Purchase Order Invoices
AP-D,Enter Scheduled Payment Dates
AP-E,Print Vouchers Invoices Due By Date
AP-F,Pick Vouchers Invoices To Pay
AP-G,Print Pro Forma Check Register
AP-H,Print Checks
AP-I,Print Aging
AP-J,Print Vendor Code And Name
AP-K,Print Vendor General Info
AP-M,Print Vendor Labels
AP-N,Enter Vouchers Edit Address
AP-O,Enter Recurring Vouchers And Templates
AP-P,Generate Recurring Vouchers
AP-Q,Void Ap Check
AP-R,Print Ap Payment History
AP-S,Print 1099 Forms
AP-T,Check Invoice Inquiry
AP-V,Enter Ap Deposit
AP-X,Print Invoice Detail
AR-A,Enter Customers
AR-B,Enter Vouchers
AR-C,Record Payments
AR-D,Charge Interest On Invoices
AR-E,Print Statements
AR-F,Print Aging
AR-G,Print Customer Code And Name
AR-H,Print Customer General Info
AR-I,Print Customer Mail Labels
AR-K,Print Sales Tax Report
AR-L,Transfer Sales Taxes
AR-M,Enter Customer Refund
AR-N,Enter Print Sales Order Deposits
AR-P,Generate Dun Leters
AR-Q,View Customer Information
AR-R,Print Customer Payment History
BM-A,Ener Bills Of Material
BM-B,Print Bills Of Materials
BM-C,Print Where Used
BM-D,Print Bom Availability
BM-E,Global Replace
BM-F,Global Delete
BM-G,Print Rollup Standard Costs
BM-H,Print Bom At Average Cost
BM-J,Enter Approved Substitutes
BM-K,Enter Approved Vendors
BM-L,Enter Approved Manufacturers
BM-N,Bom Availability Tree
BM-P,Print Bom Pick List
BM-Q,Roll Up Where Used
BM-R,Print Bom For Quoting
CM-A,Enter Contact Accounts
CM-B-B,Print Accounts Listing Labels
CM-B-C,Print Reminders
CM-B-F,Print Account History
CM-C,Opportunity Dashboard
CM-J,Change Account Code
CM-K,Add Customers To Account File
CM-L,Enter Form Letters
CR-A,Assign Departments To Sales Orders
CR-B,View Enter So Approvals
CS-A,Enter Salespersons
CS-B,View Salesperson Info
CS-C,Print Salespersons Info
CS-D,Transfer Sales Commissions
CS-E,Print Commission Detail
CS-F,Print Commission Summary
CS-G,Enter Sales Rep Links
CS-H,Import Sales Rep Links
CS-K,Enter Price Code Commissions
CS-L,Print Price Code Commissions
CS-M,Enter Contract Commissions
CS-N,Print Contract Commissions
CS-O,Print Commissions Earned Detail
CS-P,Print Commissions Due Summary
CS-Q,Commission Year End Routine
DC-A,Enter Labor Production
DC-B,Enter Production Only
DC-C,Enter Labor Only
DC-D,Print Labor Status
DC-E,Print Labor Tickets
DC-F,Print Employee Tickets
DC-G,Edit Labor Transactions
DC-H,Post Labor Transactions
DC-I,Work Order Inquiry
DC-K,Archive Or Purge Shift Re
DC-L,Shift Clock In Out
DC-M,Employee Dashboard
DC-N,Enter Holiday Shift Recor
DE-A,Sql Query Export
DE-B,Import Inventory
DE-C,Import Bills Of Material
DE-D,Import Routings
DE-E,Import Customers
DE-F,Import Vendors
DE-G,Import Chart Of Accounts
