path,status,size_bytes,content_sniff,error,pt_len
\\i2s109-solidcrm\DBAMFG$\    1   suwin6.dcy,FAIL,32876,-,Validation failed: pt[0:4]=17cd5179 != pt[4:8]=4107fd78,
\\i2s109-solidcrm\DBAMFG$\    1   suwin7.dcy,FAIL,3527,-,Validation failed: pt[0:4]=a4fef06d != pt[4:8]=91e96864,
\\i2s109-solidcrm\DBAMFG$\.F.     suwin6.dcy,FAIL,32876,-,Validation failed: pt[0:4]=17cd5179 != pt[4:8]=4107fd78,
\\i2s109-solidcrm\DBAMFG$\.F.     suwin7.dcy,FAIL,3527,-,Validation failed: pt[0:4]=a4fef06d != pt[4:8]=91e96864,
\\i2s109-solidcrm\DBAMFG$\DBAMENU_FLEX.DCY,OK,1125464,text,,1125464
\\i2s109-solidcrm\DBAMFG$\DBAMENU_LOGIN.DCY,OK,2234,delphi_form,,2234
\\i2s109-solidcrm\DBAMFG$\DBAMENU_RUNPRG.DCY,OK,1453,delphi_form,,1453
\\i2s109-solidcrm\DBAMFG$\DBAMENU_SELCOMP.DCY,OK,1567,delphi_form,,1567
\\i2s109-solidcrm\DBAMFG$\DUMMY.DCY,OK,5764,text,,5764
\\i2s109-solidcrm\DBAMFG$\EVOCHANGEPASS.DCY,OK,13999,text,,13999
\\i2s109-solidcrm\DBAMFG$\EVODC.DCY,OK,745884,text,,745884
\\i2s109-solidcrm\DBAMFG$\EVODCEMSG.DCY,OK,8273,text,,8273
\\i2s109-solidcrm\DBAMFG$\EVODCMENU2.DCY,OK,89450,text,,89450
\\i2s109-solidcrm\DBAMFG$\EVODCMESSAGE.DCY,OK,8140,text,,8140
\\i2s109-solidcrm\DBAMFG$\EVODC_LOGIN.DCY,OK,17570,text,,17570
\\i2s109-solidcrm\DBAMFG$\EVOEMSG.DCY,OK,7978,text,,7978
\\i2s109-solidcrm\DBAMFG$\EVOERPBACKUP.DCY,OK,39899,text,,39899
\\i2s109-solidcrm\DBAMFG$\EVOERPMENU.DCY,OK,1466302,text,,1466302
\\i2s109-solidcrm\DBAMFG$\EVOERPSCHED.DCY,OK,12877,text,,12877
\\i2s109-solidcrm\DBAMFG$\EVOERROR.DCY,OK,125704,text,,125704
\\i2s109-solidcrm\DBAMFG$\EVOEXPIRE.DCY,OK,25876,text,,25876
\\i2s109-solidcrm\DBAMFG$\EVOGETDATE.DCY,OK,36469,text,,36469
\\i2s109-solidcrm\DBAMFG$\EVOLOGO.DCY,OK,8325,text,,8325
\\i2s109-solidcrm\DBAMFG$\EVOMENU_LOGIN.DCY,OK,17547,text,,17547
\\i2s109-solidcrm\DBAMFG$\EVOMENU_RUNPRG.DCY,OK,7551,text,,7551
\\i2s109-solidcrm\DBAMFG$\EVOMENU_SELCOMP.DCY,OK,7671,text,,7671
\\i2s109-solidcrm\DBAMFG$\EVOMESSAGE.DCY,OK,8116,text,,8116
\\i2s109-solidcrm\DBAMFG$\EVORESETPASS.DCY,OK,12998,text,,12998
\\i2s109-solidcrm\DBAMFG$\EVOUSERS.DCY,OK,27027,text,,27027
\\i2s109-solidcrm\DBAMFG$\EVOVIEW.DCY,OK,821043,text,,821043
\\i2s109-solidcrm\DBAMFG$\GETALPHAGEN.DCY,OK,11057,text,,11057
\\i2s109-solidcrm\DBAMFG$\IMAGEPRINT.DCY,OK,6833,text,,6833
\\i2s109-solidcrm\DBAMFG$\ISABOUT.DCY,OK,136471,text,,136471
\\i2s109-solidcrm\DBAMFG$\ISDCABOUT.DCY,OK,579318,text,,579318
\\i2s109-solidcrm\DBAMFG$\ISSPLASH.DCY,OK,140858,text,,140858
\\i2s109-solidcrm\DBAMFG$\MDUMMY.DCY,OK,5678,text,,5678
\\i2s109-solidcrm\DBAMFG$\NZEDEFS.DCY,OK,24835,text,,24835
\\i2s109-solidcrm\DBAMFG$\NZEMAILTLL.DCY,OK,109432,text,,109432
\\i2s109-solidcrm\DBAMFG$\PRINTTLL.DCY,OK,46111,text,,46111
\\i2s109-solidcrm\DBAMFG$\PRINTTLLPSWD.DCY,OK,7205,text,,7205
\\i2s109-solidcrm\DBAMFG$\suwin6.dcy,FAIL,32876,-,Validation failed: pt[0:4]=17cd5179 != pt[4:8]=4107fd78,
\\i2s109-solidcrm\DBAMFG$\suwin7.dcy,FAIL,3527,-,Validation failed: pt[0:4]=a4fef06d != pt[4:8]=91e96864,
\\i2s109-solidcrm\DBAMFG$\T7CLOADING.DCY,OK,6555,text,,6555
\\i2s109-solidcrm\DBAMFG$\T7JAVARUN.DCY,OK,10356,text,,10356
\\i2s109-solidcrm\DBAMFG$\T7POPGET.DCY,OK,18217,text,,18217
\\i2s109-solidcrm\DBAMFG$\WBKLOOKUP.DCY,OK,23708,text,,23708
\\i2s109-solidcrm\DBAMFG$\WBKLUGRID.DCY,OK,48200,text,,48200
\\i2s109-solidcrm\DBAMFG$\Default\suwin6.dcy,FAIL,32876,-,Validation failed: pt[0:4]=17cd5179 != pt[4:8]=4107fd78,
