file,prefix,caption,root_class,field_count,enter_count,num_count,date_count,combo_count,check_count,tab_count,grid_count,total_controls
J7I2SACH.DFM,?,ACH Export,TEditForm1,11,3,2,3,3,0,0,0,41
J7i2SystemSOOE.DFM,?,Custom SOOE,TEditForm4,11,2,0,2,7,0,0,0,38
ACT7SHKNOTE.DFM,ACT,New Screen,TEditForm1,4,1,0,0,3,0,0,0,22
autoT7POJC.DFM,AUTO,PO-J-C,TEditForm2,28,9,9,3,7,0,0,0,72
BOMTREE.DFM,BOMT,Loading....,TEditForm1,0,0,0,0,0,0,0,0,4
CALDRILL.DFM,CALD,New Screen,TEditForm1,0,0,0,0,0,0,0,0,14
calDDsel.DFM,CALD,Calendar Drill Down,TEditForm4,4,0,0,0,1,0,0,0,9
caldrillbt.DFM,CALD,caldrillbt,TEditForm2,0,0,0,0,0,0,0,0,48
CALGRIDDRILL.DFM,CALG, Calandar Drill Downs,TEditForm1,0,0,0,0,0,0,0,1,2
CALREMGC.DFM,CALR,New Screen,TEditForm1,6,0,0,2,1,0,0,0,25
calrem.DFM,CALR,caldrillbt,TEditForm1,0,0,0,0,0,0,0,0,52
CASHFLOW.DFM,CASH,Loading....,TEditForm1,0,0,0,0,0,0,0,0,4
CASHFLOWREPORT.DFM,CASH,Loading....,TEditForm1,0,0,0,0,0,0,0,0,4
ChartDemo.DFM,CHAR,Addsum TAS 7i Chart Demo Program,TEditForm1,2,0,0,0,2,0,0,0,11
ChartPieModal.DFM,CHAR,Pie Chart Values & Captions,TEditForm2,21,11,10,0,0,0,0,0,55
chartBarModal.DFM,CHAR,Bar Chart Values & Captions,TEditForm1,16,4,12,0,0,0,0,0,40
chartLineModal.DFM,CHAR,Line Chart Values & Captions,TEditForm2,21,9,12,0,0,0,0,0,47
classic2evonts.DFM,CLAS, Classic 2 Evo Notes,TEditForm1,0,0,0,0,0,0,0,0,4
COMMISSIONRPT.DFM,COMM,Loading....,TEditForm1,0,0,0,0,0,0,0,0,4
CRMDASHBOARD.DFM,CRMD,Loading....,TEditForm1,0,0,0,0,0,0,0,0,4
dayrem.DFM,DAYR,,TShellExe,0,0,0,0,0,0,0,0,1
DDFilters.DFM,DDFI,,TPanel,1,0,0,0,1,0,0,0,3
DFMALTS.DFM,DFMA,Set ALT Keys for DFMs,TEditForm1,1,0,0,0,1,0,0,0,8
drill_check.DFM,DRIL,,TPanel,1,1,0,0,0,0,0,0,3
Dummy.DFM,DUMM,Evo Base Window,TEditForm1,0,0,0,0,0,0,0,0,6
EDITBOMTREE.DFM,EDIT,Loading....,TEditForm1,0,0,0,0,0,0,0,0,4
EMAILREL4.DFM,EMAI,New Screen,TEditForm2,3,3,0,0,0,0,0,0,11
ENPM.DFM,ENPM,Evo Notes:,TEditForm1,0,0,0,0,0,0,0,0,3
error1.DFM,ERRO,Error,TEditForm1,1,1,0,0,0,0,0,0,3
EVOENOTES.DFM,EVO, Entering Notes,TEditForm3,8,4,0,1,2,1,0,0,35
EVOERROR.DFM,EVO,File Open Error,TEditForm1,0,0,0,0,0,0,0,0,7
EVOFILTERS.DFM,EVO,New Screen,TEditForm2,106,29,0,20,53,2,11,0,270
EVOFUP.DFM,EVO,UpLoad Files,TEditForm1,5,3,0,0,1,0,0,0,21
EVOMESSAGE.DFM,EVO, Evo Message,TEditForm3,0,0,0,0,0,0,0,0,4
EVORESETPASS.DFM,EVO, Reset Password,TEditForm1,3,3,0,0,0,0,0,0,10
EVOUPASS.DFM,EVO,Password,TEditForm1,2,3,0,0,0,0,0,0,7
EvoBS.DFM,EVO, Business Status,TEditForm1,24,0,22,0,0,0,4,0,110
EvoBSCash.DFM,EVO, Business Status Cash Detail,TEditForm2,10,0,10,0,0,0,0,0,24
EvoBSR.DFM,EVO,Business Status Rebuild,TEditForm3,0,0,0,0,0,0,0,0,3
EvoBSWO.DFM,EVO, Business Status Work Orders,TEditForm1,10,0,10,0,0,0,0,0,25
EvoCSI.DFM,EVO,Evo Master Inquiry,TEditForm2,9,9,0,0,0,0,0,0,29
EvoELinks.DFM,EVO,,TRtnTimer,0,0,0,0,0,0,0,0,1
EvoEMsg.DFM,EVO, Evo Message,TEditForm17,2,1,0,0,1,0,0,0,6
EvoForceUpd.DFM,EVO, Evo ~ ERP  Force Update,TEditForm1,2,0,0,0,0,2,0,0,21
EvoLinkCVT.DFM,EVO,Evo Links CVT,TEditForm1,0,0,0,0,0,0,0,0,4
EvoLinks.DFM,EVO,,TTASStrList,0,0,0,0,0,0,0,0,1
EvoMobilesetup.DFM,EVO, Create Mobile Reminders Setup,TEditForm1,8,6,0,0,0,0,0,0,25
EvoMobilsetup.DFM,EVO, Create Mobil Reminders Setup,TEditForm1,1,1,0,0,0,0,0,0,6
EvoUPDATE.DFM,EVO,Update EvoERP,TEditForm1,0,0,0,0,0,0,0,0,3
EvoUPDsetup.DFM,EVO, Create Update Setup,TEditForm2,1,1,0,0,0,0,0,0,6
EvocfgSave.DFM,EVO,Save or Restore Program Defaults ,TEditForm1,1,0,0,0,0,1,0,0,7
Evocnvtb.DFM,EVO, Synchronize Data Dictionary with Btreive,TEditForm2,1,1,0,0,0,0,0,0,8
Evopass.DFM,EVO,Password,TEditForm1,1,2,0,0,0,0,0,0,5
Evowkssetup.DFM,EVO,Create Workstation Setup,TEditForm1,3,1,0,0,0,0,0,0,13
evoCSR.DFM,EVO,Calandar Summary Report,TEditForm1,10,0,0,1,4,0,0,0,23
evoalerts.DFM,EVO, Evo Alerts,TEditForm1,0,0,0,0,0,0,0,0,6
evogetdate.DFM,EVO,Evo ~ ERP,TEditForm1,1,0,0,0,0,1,0,0,9
evoreminders.DFM,EVO,,TRtnTimer,0,0,0,0,0,0,0,0,1
evorereminders.DFM,EVO,Reschedule,TEditForm5,3,0,0,1,1,0,0,0,9
EVODCS.DFM,EVODC,New Screen,TEditForm2,0,0,0,0,0,0,0,0,2
EvoDCmenu.DFM,EVODC,,TImageList,0,0,0,0,0,0,0,0,1
EvoDCmenu2.DFM,EVODC,,TMainMenu,0,0,0,0,0,0,0,0,7
EvoDCsetup.DFM,EVODC,Create Workstation Setup,TEditForm2,3,1,0,0,0,0,0,0,11
EVOERPUPDW.DFM,EVOERP,Archive Work Orders,TEditForm1,1,0,0,1,0,0,0,0,6
EvoERPDrillM.DFM,EVOERP,ToolBar1,TToolBar,0,0,0,0,0,0,0,0,7
EvoERPbackup.DFM,EVOERP,,TZipMaster,0,0,0,0,0,0,0,0,1
EvoERPupd.DFM,EVOERP, Evo ~ ERP  Update,TEditForm1,2,0,0,0,0,2,0,0,24
evoERPsched.DFM,EVOERP,Evo ~ ERP Scheduler,TEditForm1,11,0,0,0,0,7,0,0,20
EvoFNO.DFM,EVOFNO,,TRtnTimer,0,0,0,0,0,0,0,0,1
EvoFNOPO.DFM,EVOFNO,Converting to Purchase Order,TEditForm2,0,0,0,0,0,0,0,0,3
EvoFNOQty.DFM,EVOFNO,F&O Qty,TEditForm1,4,0,1,1,2,0,0,0,13
EvoFNOSO.DFM,EVOFNO,Converting to Sales Order,TEditForm1,0,0,0,0,0,0,0,0,3
EvoFNOWO.DFM,EVOFNO,Converting to Work Order,TEditForm4,0,0,0,0,0,0,0,0,3
EvoNoteSearch.DFM,EVONOTE,Evo Notes Search,TEditForm1,4,2,0,0,1,1,0,0,21
EvoNotes.DFM,EVONOTE,,TRtnTimer,0,0,0,0,0,0,0,0,1
EvoNotesARCH.DFM,EVONOTE,Evo Notes,TEditForm1,35,2,0,2,19,10,0,0,72
EvoNotesPrt.DFM,EVONOTE, Evo Notes Selection,TEditForm1,6,0,0,0,0,6,0,0,24
EvoNotesRpt.DFM,EVONOTE,Evo Notes,TEditForm1,33,2,0,2,19,10,0,0,70
EvoSchedsetup.DFM,EVOSCHED, Create Evo Scheduler as a Service,TEditForm1,8,6,0,0,0,0,0,0,25
EvoScheduler.DFM,EVOSCHED,,TImageList,0,0,0,0,0,0,0,0,1
EVOSERVICEREMOVE.DFM,EVOSERVICE,Remove EvoService from your Server,TEditForm1,0,0,0,0,0,0,0,0,6
EVOSERVICESETUP.DFM,EVOSERVICE,Create EvoService for your Server,TEditForm1,11,7,1,0,1,0,0,0,29
GetAlphaGen.DFM,GETA,GAG Caption,TEditForm1,1,1,0,0,0,0,0,0,6
GetFileName.DFM,GETF, Enter File,TEditForm5,3,1,0,0,0,0,0,0,9
GRIDPLAY.DFM,GRID,&Edit TabOrder = 2 end object Select: TButton Left = 92 Top = 248 Width = 75 Height = 25 Caption = 'Select,TButton,0,0,0,0,0,0,0,0,1
ht6close.DFM,HT6CL,Close,TEditForm2,0,0,0,0,0,0,0,0,4
ht6inc.DFM,HT6IN,Receiving,TEditForm1,3,1,1,0,1,0,0,0,7
ht6so.DFM,HT6SO,Create Sales Order,TEditForm1,4,2,1,0,1,0,0,0,12
ht6wo.DFM,HT6WO,Work Orders,TEditForm1,40,16,16,0,8,0,0,0,74
Imageprint.DFM,IMAG,Printing Linked Documents,TEditForm2,1,1,0,0,0,0,0,0,5
imageinfo.DFM,IMAG,New Screen,TEditForm1,5,5,0,0,0,0,0,0,24
INVCHANGE.DFM,INVC,Loading....,TEditForm1,0,0,0,0,0,0,0,0,4
ISCCREP.DFM,IS,Credit Card Report,TEditForm1,2,0,0,0,2,0,0,0,8
J7ABIShipRpt.DFM,J7AB,Lapco Fulfillment Report,TEditForm1,7,0,0,2,5,0,0,0,29
J7AppVend.DFM,J7AP,Approve Vendor,TEditForm2,5,1,1,0,2,1,0,0,23
J7AutoAPC.DFM,J7AU,Auto Enter PO Invoices,TEditForm1,9,2,0,3,3,1,0,0,33
J7BEFWebInv.DFM,J7BE,Web Item Export,TEditForm1,17,6,1,0,5,5,0,0,46
J7CCPIC.DFM,J7CC,PI-C  Enter Tag Counts,TEditForm1,6,3,1,1,1,0,0,0,31
J7CIWebImport.DFM,J7CI,Web Import,TEditForm1,17,10,0,0,3,4,0,0,192
J7CJBUsage.DFM,J7CJ,Print Inventory Usage,TEditForm1,12,1,0,2,9,0,0,0,39
J7CRSOW.DFM,J7CR,,TImageList,0,0,0,0,0,0,0,0,1
J7DCMatLabels.DFM,J7DC,Print Mattress Labels,TEditForm2,7,2,2,0,3,0,0,0,37
J7DCSSOE.DFM,J7DC,Shipping,TEditForm1,4,2,0,0,2,0,0,0,37
J7DCSSOEVerify.DFM,J7DC,,TShellExe,0,0,0,0,0,0,0,0,1
J7EBSerial.DFM,J7EB,Enter Serial Number,TEditForm1,3,1,0,0,1,0,0,1,32
J7EIMDCRev.DFM,J7EI,,TImageList,0,0,0,0,0,0,0,0,1
J7HHEBINC.DFM,J7HH,Inventory Adjustment,TEditForm1,2,1,0,0,1,0,0,0,31
J7HHEBXFER.DFM,J7HH,Transfer Inventory,TEditForm1,2,1,0,0,1,0,0,0,34
J7HHEBXferVerify.DFM,J7HH,,TShellExe,0,0,0,0,0,0,0,0,1
J7HHLITN.DFM,J7HH,Enter Tracking Numbers,TEditForm2,5,2,1,0,2,0,0,0,35
J7HHPTSSOE.DFM,J7HH,Shipping,TEditForm2,7,1,0,0,5,1,0,0,42
J7HHPTSSOELABELS.DFM,J7HH,Print Box Content Labels,TEditForm2,6,4,1,0,1,0,0,0,28
J7HHPTSSOEVerify.DFM,J7HH,,TShellExe,0,0,0,0,0,0,0,0,1
J7HHRTSSOE.DFM,J7HH,Shipping,TEditForm2,6,3,0,0,3,0,0,0,38
J7LapcoSO.DFM,J7LA,Print Inventory Usage,TEditForm2,11,2,0,0,9,0,0,0,37
J7MCDSAReport.DFM,J7MC,Sales Analysis Report,TEditForm1,7,2,0,2,3,0,0,0,29
J7MPImportAR.DFM,J7MP,Import AR ,TEditForm1,2,1,0,0,1,0,0,0,18
