table,field_path,offset
AHSYLOG,AHSY.USER.ACCES,0x79dc
AHSYLOG,AHSY.USER.CTRL,0x6014
AHSYLOG,AHSY.USER.KEY,0x82ddc
AHSYLOG,AHSY.USER.LEVL,0x6144
AHSYLOG,AHSY.USER.MENU,0x60ac
AHSYLOG,AHSY.USER.PKEYS,0x7944
BKABCUST,BKAB.EXP,0x7814
BKABCUST,BKAB.PERIOD,0x7f0c
BKABCUST,BKAB.STAND.ALNE,0x7ddc
BKABCUST,BKAB.START,0x78ac
BKABCUST,BKAB.WARNING,0x7e74
BKABVEND,BKAB.REG.NAME,0x7cac
BKABVEND,BKAB.SERIAL,0x7d44
BKACTRPT,BKAC.FROM.CAT  L,0x8f0c
BKACTRPT,BKAC.FROM.CLASSD,0x84ac
BKACTRPT,BKAC.FROM.DATE T,0x8ddc
BKACTRPT,BKAC.FROM.DESC J,0xa0ac
BKACTRPT,BKAC.FROM.PRICE,0x98ac
BKACTRPT,BKAC.FROM.TYPE,0xb30c
BKACTRPT,BKAC.FROM.WOPREp,0x930c
BKACTRPT,BKAC.ITEM.RANGE,0xb144
BKACTRPT,BKAC.NAME,0x870c
BKACTRPT,BKAC.RTM,0x8674
BKACTRPT,BKAC.THRU.AVGC 2,0xa274
BKACTRPT,BKAC.THRU.CAT  P,0x8e74
BKACTRPT,BKAC.THRU.CLASSH,0x8414
BKACTRPT,BKAC.THRU.DATE X,0x8d44
BKACTRPT,BKAC.THRU.DESC h,0xa014
BKACTRPT,BKAC.THRU.LOC  f,0x8c14
BKACTRPT,BKAC.THRU.PART 5,0x8544
BKACTRPT,BKAC.THRU.SER,0x9944
BKACTRPT,BKAC.THRU.STDC B,0xa144
BKACTRPT,BKAC.THRU.TYPE,0xb274
BKACTRPT,BKAC.THRU.WOPREx,0x9274
BKACTRPT,BKAC.TYPE,0x7c14
BKACTRPT,BKAC.TYPE.RANGE,0xb1dc
BKAPCHKF,BKAP.CHK.AMTPD,0xba74
BKAPCHKF,BKAP.CHK.CHKACTR,0xb70c
BKAPCHKF,BKAP.CHK.CHKDTET,0xb014
BKAPCHKF,BKAP.CHK.CHKKEYJ,0xb674
BKAPCHKF,BKAP.CHK.DESC  -,0xb4ac
BKAPCHKF,BKAP.CHK.INVAMT,0xb9dc
BKAPCHKF,BKAP.CHK.INVDTEF,0xb544
BKAPCHKF,BKAP.CHK.INVNUM,0xb944
BKAPCHKF,BKAP.CHK.ISCUR X,0xb0ac
BKAPCHKF,BKAP.CHK.KEYF,0xb8ac
BKAPCHKF,BKAP.CHK.NUM   J,0xb5dc
BKAPCHKF,BKAP.CHK.VNDCOD,0xb814
BKAPDESC,BK.DESC.CODE,0xcb0c
BKAPDESC,BK.DESC.DESC   _,0xc70c
BKAPDESC,BK.DESC.KEY,0xc544
BKAPDESC,BK.DESC.KEY2,0xc414
BKAPDESC,BK.DESC.LINE,0xc5dc
BKAPDESC,BK.DESC.NOTES,0xc674
BKAPDESC,BK.DESC.NUM,0xc4ac
BKAPINVL,BKAP.INVL.APDPTb,0xc814
BKAPINVL,BKAP.INVL.CHK  f,0xc8ac
BKAPINVL,BKAP.INVL.CODE,0xd9dc
BKAPINVL,BKAP.INVL.DAMT,0xcf0c
BKAPINVL,BKAP.INVL.DATE,0xdb0c
BKAPINVL,BKAP.INVL.DC   l,0xcddc
BKAPINVL,BKAP.INVL.DESC,0xd014
BKAPINVL,BKAP.INVL.EXTRAh,0xc944
BKAPINVL,BKAP.INVL.GLACTR,0xccac
BKAPINVL,BKAP.INVL.NUM,0xda74
BKAPINVL,BKAP.INVL.TAMT I,0xd30c
BKAPINVL,BKAP.INVL.TDC  Q,0xcc14
BKAPINVL,BKAP.INVL.TERMD1,0xd0ac
BKAPINVL,BKAP.INVL.TYPENG,0xd274
BKAPINVT,BKAP.INVT.AMT,0xef0c
BKAPINVT,BKAP.INVT.AMTRM,0xe414
BKAPINVT,BKAP.INVT.CODE,0xed44
BKAPINVT,BKAP.INVT.DATE,0xeddc
BKAPINVT,BKAP.INVT.EXTRAL,0xdc14
BKAPINVT,BKAP.INVT.GLDPTD,0xe674
BKAPINVT,BKAP.INVT.KEY,0xecac
BKAPINVT,BKAP.INVT.NUM,0xee74
BKAPINVT,BKAP.INVT.SDATEH,0xe70c
BKAPINVT,BKAP.INVT.TERMNB,0xe5dc
BKAPINVT,BKAP.INVT.TYPE A,0xe544
BKAPNOTE,BKAP.NOTE.DATE,0xf674
BKAPNOTE,BKAP.NOTE.ENTBY,0xf70c
BKAPNOTE,BKAP.NOTE.KEY1,0xf544
BKAPNOTE,BKAP.NOTE.SRCH1,0xf4ac
BKAPNOTE,BKAP.NOTE.SRCH2,0xf5dc
BKAPPO,BKAP.PO.CONFIRMJ,0x11144
BKAPPO,BKAP.PO.DESC   r,0x10ddc
BKAPPO,BKAP.PO.ENTBY  8,0x1170c
BKAPPO,BKAP.PO.INVNUM B,0xfe74
BKAPPO,BKAP.PO.ISBROKEZ,0xf8ac
BKAPPO,BKAP.PO.ISCUR  i,0xfa74
BKAPPO,BKAP.PO.ISMCDT V,0xf814
BKAPPO,BKAP.PO.ISREV  d,0xf944
BKAPPO,BKAP.PO.ISRVDT e,0xf9dc
BKAPPO,BKAP.PO.ISTXGR L,0xff0c
BKAPPO,BKAP.PO.NL     h,0x10cac
BKAPPO,BKAP.PO.NUM,0x13274
BKAPPO,BKAP.PO.ORDDTE L,0x111dc
BKAPPO,BKAP.PO.PCKSLP l,0xfb0c
BKAPPO,BKAP.PO.PRTD,0x1330c
BKAPPO,BKAP.PO.SHPA3  1,0x10674
BKAPPO,BKAP.PO.SHPATN m,0xfc14
BKAPPO,BKAP.PO.SHPCNT O,0x1070c
BKAPPO,BKAP.PO.SHPST,0x11414
BKAPPO,BKAP.PO.SHPVIA,0x11544
BKAPPO,BKAP.PO.SHPZIP,0x114ac
BKAPPO,BKAP.PO.SUBTOT P,0x11274
BKAPPO,BKAP.PO.TAXABLEI,0x110ac
BKAPPO,BKAP.PO.TAXAMT X,0x1130c
BKAPPO,BKAP.PO.TAXRTE j,0x10d44
BKAPPO,BKAP.PO.TERMNM 6,0x11674
BKAPPO,BKAP.PO.VNDA1  1,0x12544
BKAPPO,BKAP.PO.VNDA2  O,0x125dc
BKAPPO,BKAP.PO.VNDATN,0x105dc
BKAPPO,BKAP.PO.VNDCOD,0x12414
BKAPPO,BKAP.PO.VNDCTY m,0x12674
BKAPPO,BKAP.PO.VNDNME,0x124ac
BKAPPOL,BKAP.POL.CNTR,0x14814
BKAPPOL,BKAP.POL.ERD,0x148ac
BKAPPOL,BKAP.POL.GLA   d,0x14674
BKAPPOL,BKAP.POL.GLDPTAn,0x1470c
BKAPPOL,BKAP.POL.INVDTEb,0x130ac
BKAPPOL,BKAP.POL.INVNUMP,0x1370c
BKAPPOL,BKAP.POL.ITYPE c,0x145dc
BKAPPOL,BKAP.POL.KEY,0x15674
BKAPPOL,BKAP.POL.PCODE,0x14944
BKAPPOL,BKAP.POL.PCONV Z,0x13014
BKAPPOL,BKAP.POL.PDESC,0x149dc
BKAPPOL,BKAP.POL.PDISC K,0x14414
BKAPPOL,BKAP.POL.PEXT  S,0x144ac
BKAPPOL,BKAP.POL.PKSQTYj,0x131dc
BKAPPOL,BKAP.POL.PONM,0x1570c
BKAPPOL,BKAP.POL.PPRCE C,0x14b0c
BKAPPOL,BKAP.POL.PSTDTEf,0x13144
BKAPPOL,BKAP.POL.RQTY  s,0x13cac
BKAPPOL,BKAP.POL.TXBLE r,0x13c14
BKAPVEND,BKAP.ADD2      d,0x15414
BKAPVEND,BKAP.ADD3,0x17014
BKAPVEND,BKAP.CLASS     N,0x164ac
BKAPVEND,BKAP.CREDLIM   s,0x76944
BKAPVEND,BKAP.CUST.CODE d,0x76a74
BKAPVEND,BKAP.HIST.YN   T,0x16f0c
BKAPVEND,BKAP.IS.DCODE  a,0x76b0c
BKAPVEND,BKAP.IS.TAXGRP S,0x17544
BKAPVEND,BKAP.LASTPMT,0x15ddc
BKAPVEND,BKAP.LASTPURCH,0x15e74
BKAPVEND,BKAP.NEW.VEND  I,0x165dc
BKAPVEND,BKAP.NOTES     a,0x16d44
BKAPVEND,BKAP.OUT.CREDITA,0x16674
BKAPVEND,BKAP.OUTINV,0x15f0c
BKAPVEND,BKAP.PURCH.LYR 1,0x15c14
BKAPVEND,BKAP.PURCH.VAR 9,0x1670c
BKAPVEND,BKAP.REM.STATE _,0x16ddc
BKAPVEND,BKAP.REM.ZIP   U,0x16e74
BKAPVEND,BKAP.START.DATEJ,0x16544
BKAPVEND,BKAP.TELEPHONE N,0x15944
BKAPVEND,BKAP.TERMS.NUM R,0x16414
BKAPVEND,BKAP.VENDCODE,0x155dc
BKAPVEND,BKAP.VENDNAME,0x15544
BKAPVND2,BKAP2.A1,0x199dc
BKAPVND2,BKAP2.A10,0x19b0c
BKAPVND2,BKAP2.A10L     K,0x19014
BKAPVND2,BKAP2.A1L,0x19a74
BKAPVND2,BKAP2.A30      E,0x190ac
BKAPVND2,BKAP2.ID,0x198ac
BKAPVND2,BKAP2.N12L,0x18814
BKAPVND2,BKAP2.N6,0x188ac
BKAPVND2,BKAP2.N6L      -,0x18944
BKAPVND2,BKAP2.SEND.1099,0x19944
BKAPVND2,BKAP2.VENDCODE,0x19814
BKARCUST,BKAR.ADD2      F,0x19d44
BKARCUST,BKAR.COGS.LYR  B,0x1b674
BKARCUST,BKAR.COGS.MTD,0x1a814
BKARCUST,BKAR.COGS.PVAR b,0x1b414
BKARCUST,BKAR.COMM,0x1d30c
BKARCUST,BKAR.COOP.AMT  4,0x1d144
BKARCUST,BKAR.CREDIT.HLD,0x6c014
BKARCUST,BKAR.CUST.YEAR Y,0x1d544
BKARCUST,BKAR.CUSTCODE,0x19f0c
BKARCUST,BKAR.CUSTNAME,0x19e74
BKARCUST,BKAR.EXTRA,0x1df0c
BKARCUST,BKAR.FOLUPDTE,0x1c414
BKARCUST,BKAR.FORECAST  M,0x1d5dc
BKARCUST,BKAR.GROSS.PVARZ,0x1b4ac
BKARCUST,BKAR.GROSS.YTD,0x1addc
BKARCUST,BKAR.NET.LYR   J,0x1b5dc
BKARCUST,BKAR.NET.MTD,0x1af0c
BKARCUST,BKAR.NET.PVAR  j,0x7670c
BKARCUST,BKAR.NEW.CUST  z,0x735dc
BKARCUST,BKAR.PNET.LYR  R,0x1b544
BKARCUST,BKAR.PNET.MTD,0x1ae74
BKARCUST,BKAR.PNET.PVAR r,0x76674
BKARCUST,BKAR.PNET.YTD  2,0x1ac14
BKARCUST,BKAR.PURCH.AGMTL,0x1d674
BKARCUST,BKAR.QC.INFO   e,0x1d4ac
BKARCUST,BKAR.SHIPVIA,0x1c4ac
BKARCUST,BKAR.SIC.CODE  E,0x1d70c
BKARDEP,BKAR.DEP.CUST,0x1e414
BKARDEP,BKAR.DEP.DATE,0x1e4ac
BKARDEP,BKAR.DEP.DEPNO,0x1ef0c
BKARDEP,BKAR.DEP.EXTRA,0x1e674
BKARDEP,BKAR.DEP.SO,0x1e544
BKARDEP,BKAR.DEP.SR,0x1e5dc
BKARHTAX,BKAR.TAX.CODE,0x1eddc
BKARHTAX,BKAR.TAX.ID,0x1ed44
BKARHTAX,BKAR.TAX.INVNO,0x1ee74
BKARINV,BKAR.INV.ALPHASp,0x24014
BKARINV,BKAR.INV.AVATAX4,0x24144
BKARINV,BKAR.INV.BILA2 A,0x22e74
BKARINV,BKAR.INV.BILA3 _,0x22ddc
BKARINV,BKAR.INV.BILNME,0x22014
BKARINV,BKAR.INV.COGS  1,0x20ddc
BKARINV,BKAR.INV.CUSA1,0x1f014
BKARINV,BKAR.INV.CUSCOD,0x1f0ac
BKARINV,BKAR.INV.DATES,0x24f0c
BKARINV,BKAR.INV.DESC  C,0x20c14
BKARINV,BKAR.INV.DROP,0x24e74
BKARINV,BKAR.INV.FLAGS f,0x240ac
BKARINV,BKAR.INV.FRGHT n,0x21544
BKARINV,BKAR.INV.GLDPT a,0x2170c
BKARINV,BKAR.INV.INDATEy,0x23144
BKARINV,BKAR.INV.INVCD,0x1f1dc
BKARINV,BKAR.INV.INVDTE,0x1f144
BKARINV,BKAR.INV.LOC   v,0x214ac
BKARINV,BKAR.INV.NL    9,0x20d44
BKARINV,BKAR.INV.NUM,0x1f30c
BKARINV,BKAR.INV.RTS   m,0x215dc
BKARINV,BKAR.INV.SHPA1 G,0x2030c
BKARINV,BKAR.INV.SHPA2 e,0x20274
BKARINV,BKAR.INV.SHPCOD,0x1fcac
BKARINV,BKAR.INV.SHPST,0x1fddc
BKARINV,BKAR.INV.SHPZIP,0x1fd44
BKARINV,BKAR.INV.SONUM,0x1f274
BKARINV,BKAR.INV.SUBTOT,0x20414
BKARINV,BKAR.INV.TAXABL,0x204ac
BKARINVI,BKAR.INVI.COMM T,0x258ac
BKARINVI,BKAR.INVI.COOP l,0x24d44
BKARINVI,BKAR.INVI.ESD,0x2530c
BKARINVI,BKAR.INVI.EXTRML,0x259dc
BKARINVI,BKAR.INVI.FRGHTd,0x25944
BKARINVI,BKAR.INVI.INVNM,0x24c14
BKARINVI,BKAR.INVI.ITYPEK,0x25a74
BKARINVI,BKAR.INVI.PCODE,0x25274
BKARINVI,BKAR.INVI.PCOGSC,0x25b0c
BKARINVI,BKAR.INVI.PDISC3,0x250ac
BKARINVI,BKAR.INVI.SONUM,0x24cac
BKARINVI,BKAR.INVI.TAX  t,0x24ddc
BKARINVL,BKAR.INVL.CNTR,0x27f0c
BKARINVL,BKAR.INVL.ESD,0x26c14
BKARINVL,BKAR.INVL.INVNM,0x27e74
BKARINVL,BKAR.INVL.ITYPEc,0x26944
BKARINVL,BKAR.INVL.KEY,0x27ddc
BKARINVL,BKAR.INVL.LOC  v,0x264ac
BKARINVL,BKAR.INVL.PCODE,0x26cac
BKARINVL,BKAR.INVL.PDESC,0x26d44
BKARINVL,BKAR.INVL.PDISCK,0x26f0c
BKARINVL,BKAR.INVL.PEXT S,0x26814
BKARINVL,BKAR.INVL.PPRCEC,0x26e74
BKARINVL,BKAR.INVL.RTS  u,0x26414
BKARINVL,BKAR.INVL.SCCOG0,0x25814
BKARINVL,BKAR.INVL.TXBLEd,0x269dc
BKARINVL,BKAR.INVL.UBO  e,0x26a74
BKARINVL,BKAR.INVL.USTD m,0x26b0c
BKARINVT,BKAR.INVT.AMT,0x28674
BKARINVT,BKAR.INVT.AMTRM,0x2870c
BKARINVT,BKAR.INVT.CODE,0x29274
BKARINVT,BKAR.INVT.DATE,0x28544
BKARINVT,BKAR.INVT.DEPSTH,0x2830c
BKARINVT,BKAR.INVT.EXTRAK,0x27cac
BKARINVT,BKAR.INVT.GLDPTB,0x281dc
BKARINVT,BKAR.INVT.NUM,0x285dc
BKARINVT,BKAR.INVT.SLSP F,0x28274
BKARINVT,BKAR.INVT.SLSP2I,0x27c14
BKARINVT,BKAR.INVT.TYPE A,0x28144
BKARINVV,BKAR.INVV.CODE,0x2b4ac
BKARINVV,BKAR.INVV.COGS _,0x290ac
BKARINVV,BKAR.INVV.COMPR7,0x295dc
BKARINVV,BKAR.INVV.COOP O,0x2970c
BKARINVV,BKAR.INVV.DATE,0x2b70c
BKARINVV,BKAR.INVV.DESC,0x2a014
BKARINVV,BKAR.INVV.EXTRAl,0x291dc
BKARINVV,BKAR.INVV.FLAG g,0x29144
BKARINVV,BKAR.INVV.FRGHTG,0x29674
BKARINVV,BKAR.INVV.GLACTO,0x29d44
BKARINVV,BKAR.INVV.KEY,0x2b5dc
BKARINVV,BKAR.INVV.NUM,0x2b674
BKARINVV,BKAR.INVV.SLSP 3,0x29544
BKARINVV,BKAR.INVV.TAMT F,0x29c14
BKARINVV,BKAR.INVV.TAX  W,0x29014
BKARINVV,BKAR.INVV.TDC  N,0x29cac
BKARINVV,BKAR.INVV.TERMD.,0x2a144
BKARINVV,BKAR.INVV.TERMN8,0x2a1dc
BKARINVV,BKAR.INVV.TYPEND,0x2a30c
BKART,BKART.AMOUNT,0x2b944
BKART,BKART.CUST,0x2b414
BKART,BKART.DISC,0x2b9dc
BKART,BKART.INVC     5,0x2bddc
BKART,BKART.NOTE     E,0x2bcac
BKART,BKART.TRXN,0x2bb0c
BKART,BKART.TRXNLINK -,0x2be74
BKART,BKART.TYPE,0x2ba74
BKARTNOT,BKART.NOT.CNTR,0x2cb0c
BKARTNOT,BKART.NOT.DESC,0x2ca74
BKARTNOT,BKART.NOT.TRXN,0x2bc14
BKARTXN,BKAR.TXN.CODE,0x2d9dc
BKARTXN,BKAR.TXN.DATE  e,0x2cd44
BKARTXN,BKAR.TXN.DESC,0x2da74
BKARTXN,BKAR.TXN.KEY,0x2d8ac
BKARTXN,BKAR.TXN.LINE  x,0x2ce74
BKARTXN,BKAR.TXN.QTY   5,0x2db0c
BKARTXN,BKAR.TXN.SERIALL,0x2ccac
BKARTXN,BKAR.TXN.SONUM,0x2d944
BKARTXN,BKAR.TXN.STOCK i,0x2cddc
BKBMCNFG,BKBM.CNFG.AUTO,0x2dd44
BKBMCNFG,BKBM.CNFG.GLACT,0x2de74
BKBMCNFG,BKBM.CNFG.GLDPT,0x2dddc
BKBMCNFG,BKBM.CNFG.LABOR,0x2d814
BKBMCNFG,BKBM.CNFG.NUM,0x2df0c
BKBMCNFG,BKBM.CNFG.POST,0x2dcac
BKBMCNFG,BKBM.CNFG.ROLL,0x2dc14
BKBMDIM,BKBM.DIM.COMP,0x2e4ac
BKBMDIM,BKBM.DIM.EXTRA T,0x2e414
BKBMDIM,BKBM.DIM.KEY,0x2e5dc
BKBMDIM,BKBM.DIM.LINE,0x2e544
BKBMDIM,BKBM.DIM.MACH  0,0x2e1dc
BKBMDIM,BKBM.DIM.PARENT,0x2e30c
BKBMDIM,BKBM.DIM.PART.X,0x2e674
BKBMDIM,BKBM.DIM.REMN.XD,0x2e70c
BKBMDIM,BKBM.DIM.REMN.YL,0x2e274
BKBMDIM,BKBM.DIM.TRIM.X4,0x2e0ac
BKBMMSTR,BKBM.COMPONENT,0x30274
BKBMMSTR,BKBM.DATE1     h,0x2f274
BKBMMSTR,BKBM.DATE2     l,0x2f30c
BKBMMSTR,BKBM.EXTRA     p,0x2ec14
BKBMMSTR,BKBM.KEY,0x30144
BKBMMSTR,BKBM.PARENT,0x300ac
BKBMMSTR,BKBM.PROD.DUPOPX,0x2f0ac
BKBMMSTR,BKBM.PROD.OP   E,0x2f5dc
BKBMMSTR,BKBM.PROD.OPDSCY,0x2f144
BKBMMSTR,BKBM.PROD.OPYN H,0x2f674
BKBMMSTR,BKBM.PROD.PRICEN,0x2f70c
BKBMMSTR,BKBM.PROD.RTNUMV,0x2f014
BKBMMSTR,BKBM.QTY.REQD,0x3030c
BKBMNOTE,BKBM.NT.NOTE,0x3070c
BKBMNOTE,BKBM.NT.PARENT,0x30014
BKBMREMK,BKBM.RM.COMP,0x304ac
BKBMREMK,BKBM.RM.KEY,0x3170c
BKBMREMK,BKBM.RM.LINE,0x30414
BKBMREMK,BKBM.RM.PARENT,0x31674
BKBMREMK,BKBM.RM.REMARK,0x30544
BKCMACCC,BKCM.ACCC.CCODE,0x31544
BKCMACCC,BKCM.ACCC.DESC,0x315dc
BKCMACCL,BKCM.ACCL.CLASS,0x314ac
BKCMACCL,BKCM.ACCL.CODE,0x31b0c
BKCMACCL,BKCM.ACCL.KEY,0x31414
BKCMACCN,BKCM.ACCN.CODE,0x31a74
BKCMACCN,BKCM.ACCN.CONT,0x319dc
BKCMACCN,BKCM.ACCN.DTLBLC,0x32414
BKCMACCN,BKCM.ACCN.EXTRAV,0x31f0c
BKCMACCN,BKCM.ACCN.M2LBL,0x32b0c
BKCMACCN,BKCM.ACCN.PHONEb,0x318ac
BKCMACCN,BKCM.ACCN.TITLE6,0x31944
BKCMACCT,BKCM.ACCT.ADD1 8,0x32f0c
BKCMACCT,BKCM.ACCT.ADD2 V,0x32e74
BKCMACCT,BKCM.ACCT.ADD3 t,0x32ddc
BKCMACCT,BKCM.ACCT.ALPHA,0x328ac
BKCMACCT,BKCM.ACCT.CEXP p,0x34a74
BKCMACCT,BKCM.ACCT.CMPNMt,0x349dc
BKCMACCT,BKCM.ACCT.CNUM W,0x34b0c
BKCMACCT,BKCM.ACCT.CODE,0x329dc
BKCMACCT,BKCM.ACCT.CUST Q,0x341dc
BKCMACCT,BKCM.ACCT.DLOADI,0x3430c
BKCMACCT,BKCM.ACCT.FTHRE,0x34544
BKCMACCT,BKCM.ACCT.FTWO,0x345dc
BKCMACCT,BKCM.ACCT.LEAD R,0x34144
BKCMACCT,BKCM.ACCT.NAME,0x32814
BKCMACCT,BKCM.ACCT.OLDCD,0x32944
BKCMACCT,BKCM.ACCT.PHONE,0x33544
BKCMACCT,BKCM.ACCT.REM  _,0x3470c
BKCMACCT,BKCM.ACCT.REP  D,0x33414
BKCMACCT,BKCM.ACCT.SICCDJ,0x34274
BKCMACCT,BKCM.ACCT.STARTW,0x340ac
BKCMACFC,BKCM.ACFC.DESC,0x34ddc
BKCMACFC,BKCM.ACFC.FCODE,0x34e74
BKCMACFC,BKCM.ACFC.REP,0x34d44
BKCMACTD,BKCM.ACTD.CODE,0x35ddc
BKCMACTD,BKCM.ACTD.DATE,0x34c14
BKCMACTD,BKCM.ACTD.DCODE,0x35f0c
BKCMACTD,BKCM.ACTD.EXTRA,0x34cac
BKCMACTD,BKCM.ACTD.KEY,0x35d44
BKCMACTD,BKCM.ACTD.KEY2,0x35e74
BKCMACTF,BKCM.ACTF.CODE,0x3670c
BKCMACTF,BKCM.ACTF.DATE,0x36274
BKCMACTF,BKCM.ACTF.DLOADB,0x35c14
BKCMACTF,BKCM.ACTF.KEY,0x361dc
BKCMACTF,BKCM.ACTF.KEY2,0x36014
BKCMACTF,BKCM.ACTF.REM,0x3630c
BKCMACTF,BKCM.ACTF.REP,0x360ac
BKCMACTF,BKCM.ACTF.SO   C,0x35cac
BKCMACTF,BKCM.ACTF.TYPE,0x36144
BKCMACTH,BKCM.ACTH.BILLD_,0x36814
BKCMACTH,BKCM.ACTH.CD,0x36544
BKCMACTH,BKCM.ACTH.CNTCTf,0x37144
BKCMACTH,BKCM.ACTH.CODE,0x37674
BKCMACTH,BKCM.ACTH.DATE,0x37544
BKCMACTH,BKCM.ACTH.EVENT,0x364ac
BKCMACTH,BKCM.ACTH.FLINEa,0x37274
BKCMACTH,BKCM.ACTH.KEY,0x375dc
BKCMACTH,BKCM.ACTH.KEY2,0x37414
BKCMACTH,BKCM.ACTH.LINE,0x365dc
BKCMACTH,BKCM.ACTH.PHONE,0x36414
BKCMACTH,BKCM.ACTH.RATE,0x370ac
BKCMACTH,BKCM.ACTH.RECVDb,0x371dc
BKCMACTH,BKCM.ACTH.REP,0x36674
BKCMACTH,BKCM.ACTH.START,0x36b0c
BKCMACTH,BKCM.ACTH.STOP,0x36a74
BKCMCNTD,BKCM.CNTD.TITLE,0x38274
BKCMCNTD,BKCM.CNTD.TTLE1,0x3830c
BKCMCTRL,BKCM.CTRL.USER,0x380ac
BKCMDTCD,BKCM.DTCD.DCODE,0x38014
BKCMDTCD,BKCM.DTCD.DESC,0x3870c
BKCMDUN,BKCM.DUN.AGE,0x38ddc
BKCMDUN,BKCM.DUN.FORM,0x38e74
BKCMDUN,BKCM.DUN.REP,0x38d44
BKCMDUNH,BKCM.DUNH.ACCT,0x39a74
BKCMDUNH,BKCM.DUNH.AGE,0x39b0c
BKCMDUNH,BKCM.DUNH.AMT,0x38c14
BKCMDUNH,BKCM.DUNH.DATE,0x39944
BKCMDUNH,BKCM.DUNH.FORM,0x398ac
BKCMDUNH,BKCM.DUNH.KEY,0x399dc
BKCMFORM,BKCM.FORM.CODE,0x3a274
BKCMFORM,BKCM.FORM.DESC _,0x395dc
BKCMFORM,BKCM.FORM.KEY,0x39814
BKCMFORM,BKCM.FORM.LINE,0x3970c
BKCMFORM,BKCM.FORM.LNSPG,0x394ac
BKCMFORM,BKCM.FORM.NOTE,0x39674
BKCMFTME,BKCM.FTME.ATIME1,0x3a674
BKCMFTME,BKCM.FTME.CODE,0x3a1dc
BKCMFTME,BKCM.FTME.DESC,0x3a144
BKCMFTME,BKCM.FTME.FTIME,0x3a0ac
BKCMFTME,BKCM.FTME.LASTP-,0x3a014
BKCMFTME,BKCM.FTME.NTIME3,0x3a5dc
BKCMHCD2,BKCM.HCD2.CCODE,0x3aa74
BKCMHCD2,BKCM.HCD2.CPART,0x3a4ac
BKCMHCD2,BKCM.HCD2.HCODE,0x3a944
BKCMHCD2,BKCM.HCD2.PCODE,0x3a9dc
BKCMHCD2,BKCM.HCD2.PPART,0x3a414
BKCMHCD2,BKCM.HCD2.RCODE,0x3ab0c
BKCMHCOD,BKCM.HCOD.DESC,0x3ac14
BKCMHCOD,BKCM.HCOD.FPARTF,0x3a8ac
BKCMHCOD,BKCM.HCOD.HCODE,0x3bb0c
BKCMHCOD,BKCM.HCOD.NPART7,0x3a814
BKCMHCOD,BKCM.HCOD.RATE,0x3ad44
BKCMHCOD,BKCM.HCOD.WINDW,0x3acac
BKCMLEAD,BKCM.LEAD.DESC,0x3ba74
BKCMLEAD,BKCM.LEAD.SCODE,0x3b9dc
BKCMMHST,BKCM.MHST.DESC,0x3d414
BKCMMHST,BKCM.MHST.FORM q,0x3b944
BKCMMHST,BKCM.MHST.FREP e,0x3be74
BKCMMHST,BKCM.MHST.MCODE,0x3df0c
BKCMMHST,BKCM.MHST.NOCUSd,0x3bddc
BKCMMHST,BKCM.MHST.REM  p,0x3b8ac
BKCMMHST,BKCM.MHST.SORT o,0x3b814
BKCMMHST,BKCM.MHST.STAT Y,0x3bd44
BKCMMHST,BKCM.MHST.TREP j,0x3bf0c
BKCMPCFC,BKCM.PCFC.DESC,0x3dddc
BKCMPCFC,BKCM.PCFC.FCODE,0x3dd44
BKCMPCFC,BKCM.PCFC.REP,0x3de74
BKCMPCNT,BKCM.PCNT.ADD1 3,0x3e9dc
BKCMPCNT,BKCM.PCNT.ADD2 Q,0x3ea74
BKCMPCNT,BKCM.PCNT.ADD3 o,0x3eb0c
BKCMPCNT,BKCM.PCNT.ALPHA,0x3e8ac
BKCMPCNT,BKCM.PCNT.CCODE,0x3fb0c
BKCMPCNT,BKCM.PCNT.EXTRA8,0x3f274
BKCMPCNT,BKCM.PCNT.NAME,0x3e944
BKCMPCNT,BKCM.PCNT.PHONE,0x3dc14
BKCMPCNT,BKCM.PCNT.REM  H,0x3f1dc
BKCMPCNT,BKCM.PCNT.REP,0x3f0ac
