LOC_BUFF_N,LOC_FILE_N,LOC_COMP_C,LOC_REC_SI,LOC_REC_TY,LOC_LOCATI,LOC_DESCRI
FILEDBF,FILEDBF,XFR,37,B,,
FILEDBF,FILEDBF,C,102,C,,
FILEDES,FILEDES,C,102,C,,
FILEDFLD,FILEDFLD,C,102,C,,
FILEDICT,FILEDICT,XFR,126,B,,
FILEDICT,FILEDICT,C,102,C,,
FILEKEY,FILEKEY,XFR,898,B,,
FILEKEY,FILEKEY,C,102,C,,
FILEKNUM,FILEKNUM,C,102,C,,
FILELOC,FILELOC,XFR,102,B,,
FILELOC,FILELOC,C,102,C,,
ERRMSG,ERRMSG,C,324,C,,
FILEDICT,XFR_FILEDICT,C,,C,,
FILEKEY,XFR_FILEKEY,C,,C,,
FILELOC,XFR_FILELOC,C,,C,,
FILEDBF,XFR_FILEDBF,C,,C,,
WTASFMGR,WTASFMGR,C,,C,,
BKMENUSU,BKMENUSU,C,,C,,
AHSYLOG,AHSYLOG,B,27,B,DEFAULT\,
AHSYLOG,AHSYLOG,B99,27,B,TESTDATA\,
BKABCUST,BKABCUST,B,13,B,DEFAULT\,
BKABCUST,BKABCUST,B99,13,B,TESTDATA\,
BKABVEND,BKABVEND,B,33,B,DEFAULT\,
BKABVEND,BKABVEND,B99,33,B,TESTDATA\,
BKACTRPT,BKACTRPT,B,534,B,DEFAULT\,
BKACTRPT,BKACTRPT,B99,534,B,TESTDATA\,
BKAPCHKF,BKAPCHKF,B,91,B,DEFAULT\,
BKAPCHKF,BKAPCHKF,B99,91,B,TESTDATA\,
BKAPCHKF,BKAPCHKH,B,91,B,DEFAULT\,
BKAPCHKF,BKAPCHKH,B99,91,B,TESTDATA\,
BKAPCHKF,BKARCHKF,B,91,B,DEFAULT\,
BKAPCHKF,BKARCHKF,B99,91,B,TESTDATA\,
BKAPCHKF,BKARCHKH,B,91,B,DEFAULT\,
BKAPCHKF,BKARCHKH,B99,91,B,TESTDATA\,
BKAPCHKF,ISAPACHK,B,91,B,DEFAULT\,
BKAPCHKF,ISAPACHK,B99,91,B,TESTDATA\,
BKAPCHKF,ISARACHK,B,91,B,DEFAULT\,
BKAPCHKF,ISARACHK,B99,91,B,TESTDATA\,
BKAPDESC,BKAPADSC,B,120,B,DEFAULT\,
BKAPDESC,BKAPADSC,B99,120,B,TESTDATA\,
BKAPDESC,BKAPDESC,B,120,B,DEFAULT\,
BKAPDESC,BKAPDESC,B99,120,B,TESTDATA\,
BKAPDESC,BKAPHDSC,B,120,B,DEFAULT\,
BKAPDESC,BKAPHDSC,B99,120,B,TESTDATA\,
BKAPDESC,BKARDESC,B,120,B,DEFAULT\,
BKAPDESC,BKARDESC,B99,120,B,TESTDATA\,
BKAPDESC,BKARDPST,B,120,B,DEFAULT\,
BKAPDESC,BKARDPST,B99,120,B,TESTDATA\,
BKAPDESC,BKARHDSC,B,120,B,DEFAULT\,
BKAPDESC,BKARHDSC,B99,120,B,TESTDATA\,
BKAPDESC,BKARRDSC,B,120,B,DEFAULT\,
BKAPDESC,BKARRDSC,B99,120,B,TESTDATA\,
BKAPDESC,BKGLDESC,B,120,B,DEFAULT\,
BKAPDESC,BKGLDESC,B99,120,B,TESTDATA\,
BKAPDESC,BKQTNOTE,B,120,B,DEFAULT\,
BKAPDESC,BKQTNOTE,B99,120,B,TESTDATA\,
BKAPDESC,BKQTTEMP,B,120,B,DEFAULT\,
BKAPDESC,BKQTTEMP,B99,120,B,TESTDATA\,
