logical_table,physical_file,location
AHSYLOG,AHSYLOG,DEFAULT
AHSYLOG,AHSYLOG,TESTDATA
BKABCUST,BKABCUST,DEFAULT
BKABCUST,BKABCUST,TESTDATA
BKABVEND,BKABVEND,DEFAULT
BKABVEND,BKABVEND,TESTDATA
BKACTRPT,BKACTRPT,DEFAULT
BKACTRPT,BKACTRPT,TESTDATA
BKAPCHKF,BKAPCHKF,DEFAULT
BKAPCHKF,BKAPCHKH,DEFAULT
BKAPCHKF,BKARCHKF,DEFAULT
BKAPCHKF,BKARCHKH,DEFAULT
BKAPCHKF,ISAPACHK,DEFAULT
BKAPCHKF,ISARACHK,DEFAULT
BKAPCHKF,BKAPCHKF,TESTDATA
BKAPCHKF,BKAPCHKH,TESTDATA
BKAPCHKF,BKARCHKF,TESTDATA
BKAPCHKF,BKARCHKH,TESTDATA
BKAPCHKF,ISAPACHK,TESTDATA
BKAPCHKF,ISARACHK,TESTDATA
BKAPDESC,BKAPADSC,DEFAULT
BKAPDESC,BKAPDESC,DEFAULT
BKAPDESC,BKAPHDSC,DEFAULT
BKAPDESC,BKARDESC,DEFAULT
BKAPDESC,BKARDPST,DEFAULT
BKAPDESC,BKARHDSC,DEFAULT
BKAPDESC,BKARRDSC,DEFAULT
BKAPDESC,BKGLDESC,DEFAULT
BKAPDESC,BKQTNOTE,DEFAULT
BKAPDESC,BKQTTEMP,DEFAULT
BKAPDESC,BKRFQDES,DEFAULT
BKAPDESC,BKSONOTE,DEFAULT
BKAPDESC,ISARADSC,DEFAULT
BKAPDESC,ISARAHDS,DEFAULT
BKAPDESC,ISRFQADS,DEFAULT
BKAPDESC,ISRMADSC,DEFAULT
BKAPDESC,ISRMDESC,DEFAULT
BKAPDESC,ISSRADSC,DEFAULT
BKAPDESC,ISSRDESC,DEFAULT
BKAPDESC,ISWODESC,DEFAULT
BKAPDESC,ISWOHDSC,DEFAULT
BKAPDESC,NOTETEMP,DEFAULT
BKAPDESC,BKAPADSC,TESTDATA
BKAPDESC,BKAPDESC,TESTDATA
BKAPDESC,BKAPHDSC,TESTDATA
BKAPDESC,BKARDESC,TESTDATA
BKAPDESC,BKARDPST,TESTDATA
BKAPDESC,BKARHDSC,TESTDATA
BKAPDESC,BKARRDSC,TESTDATA
BKAPDESC,BKGLDESC,TESTDATA
BKAPDESC,BKQTNOTE,TESTDATA
BKAPDESC,BKQTTEMP,TESTDATA
BKAPDESC,BKRFQDES,TESTDATA
BKAPDESC,BKSONOTE,TESTDATA
BKAPDESC,ISARADSC,TESTDATA
BKAPDESC,ISARAHDS,TESTDATA
BKAPDESC,ISRFQADS,TESTDATA
BKAPDESC,ISRMADSC,TESTDATA
BKAPDESC,ISRMDESC,TESTDATA
BKAPDESC,ISSRADSC,TESTDATA
BKAPDESC,ISSRDESC,TESTDATA
BKAPDESC,ISWODESC,TESTDATA
BKAPDESC,ISWOHDSC,TESTDATA
BKAPDESC,NOTETEMP,TESTDATA
BKAPINVL,BKAPINVL,DEFAULT
BKAPINVL,BKAPRIVL,DEFAULT
BKAPINVL,ISAPAINL,DEFAULT
BKAPINVL,BKAPINVL,TESTDATA
BKAPINVL,BKAPRIVL,TESTDATA
BKAPINVL,ISAPAINL,TESTDATA
BKAPINVT,BKAPEIVT,DEFAULT
BKAPINVT,BKAPINVT,DEFAULT
BKAPINVT,ISAPAINT,DEFAULT
BKAPINVT,BKAPEIVT,TESTDATA
BKAPINVT,BKAPINVT,TESTDATA
BKAPINVT,ISAPAINT,TESTDATA
BKAPNOTE,BKAPNOTE,DEFAULT
BKAPNOTE,BKAPNOTE,TESTDATA
BKAPPO,BKAPAPO,DEFAULT
BKAPPO,BKAPHPO,DEFAULT
BKAPPO,BKAPPO,DEFAULT
BKAPPO,BKAPRFQ,DEFAULT
BKAPPO,ISAPARFQ,DEFAULT
BKAPPO,ISAPOPO,DEFAULT
BKAPPO,ISSPOH,DEFAULT
BKAPPO,ISSRFQH,DEFAULT
BKAPPO,BKAPAPO,TESTDATA
BKAPPO,BKAPHPO,TESTDATA
BKAPPO,BKAPPO,TESTDATA
BKAPPO,BKAPRFQ,TESTDATA
BKAPPO,ISAPARFQ,TESTDATA
BKAPPO,ISAPOPO,TESTDATA
BKAPPO,ISSPOH,TESTDATA
