referenced_table,pk_field,referencing_table
BKARDEP,BKAR_DEP_DEPNO,BKAPDEP
BKBMREMK,BKBM_RM_PARENT,BKBMERMK
BKCMACCN,BKCM_ACCN_CODE,BKAPACCN
BKCMCTRL,BKCM_CTRL_USER,BKCMCTL1
BKCMCTRL,BKCM_CTRL_USER,BKCMCTL2
BKCMCTRL,BKCM_CTRL_USER,BKCMCTL3
BKCMCTRL,BKCM_CTRL_USER,BKCMCTL4
BKCMEACF,BKCM_ACTF_CODE,BKCMACTF
BKCMEACH,BKCM_ACTH_CODE,BKCMACTH
BKCMEACT,BKCM_ACCT_CODE,BKCMACCT
BKCMEACT,BKCM_ACCT_CODE,BKCMDE
BKCMFTME,BKCM_FTME_CODE,BKCMEFTM
BKCMTMP4,BKCMT_KEYF,BKCMTEMP
BKCMTMP4,BKCMT_KEYF,BKCMTMP1
BKCMTMP4,BKCMT_KEYF,BKCMTMP2
BKCMTMP4,BKCMT_KEYF,BKCMTMP3
BKDCTLAB,LAB_ESSDATE,BKDCCLAB
BKDCTLAB,LAB_ESSDATE,BKDCHLAB
BKDCTLAB,LAB_ESSDATE,BKDCLAB
BKDCTLAB,LAB_ESSDATE,BKDCPLAB
BKGLTGJL,BKGL_GJL_TRANSN,BKGLAGJL
BKGLTGJL,BKGL_GJL_TRANSN,BKGLGJLN
BKGLTGJL,BKGL_GJL_TRANSN,BKGLRGJL
BKGLTGJR,BKGL_GJ_TRANSDT,BKGLAGJR
BKGLTGJR,BKGL_GJ_TRANSDT,BKGLGJRN
BKGLTGJR,BKGL_GJ_TRANSDT,BKGLRGJR
BKGLXH,BKGLX_POSTDATE,BKGLX
BKICLOC,BKIC_LOC_PROD,BKICELOC
BKPOXH,BKPOX_POSTDATE,BKPOX
BKPRHCOM,BKPR_COMM_SLSP,BKPRACOM
BKPRHCOM,BKPR_COMM_SLSP,BKPRCOMM
BKSOXH,BKSOX_POSTDATE,BKSOX
EMERSNGL,BKGL_ACCT,BKGLCOA
EMERSNGL,BKGL_ACCT,BKGLECOA
EMERSNGL,BKGL_ACCT,BKGLFCOA
INVTXN,MTIT_TYPE,INVATXN
INVTXN,MTIT_TYPE,INVETXN
ISAPAINT,BKAP_INVT_CODE,BKAPEIVT
ISAPAINT,BKAP_INVT_CODE,BKAPINVT
ISAPAVND,BKAP_VENDCODE,BKAPEVND
ISAPAVND,BKAP_VENDCODE,BKAPVEND
ISARACST,BKAR_CUSTCODE,BKARCUST
ISARACST,BKAR_CUSTCODE,BKARECST
ISARACST,BKAR_CUSTCODE,BKARSHIP
ISARACST,BKAR_CUSTCODE,BKCMCUST
ISARAHTX,BKAR_TAX_INVNO,BKARHTAX
ISARAIVI,BKAR_INVI_SONUM,BKARINVI
ISARAT,BKART_TRXN,ARTTEMP
ISARAT,BKART_TRXN,BKART
ISARATNT,BKART_NOT_TRXN,BKARTNOT
ISARFQ,BKRFQ_NUM,BKAPQUOT
ISARFQ,BKRFQ_NUM,BKRFQ
ISARFQ,BKRFQ_NUM,ISAPHQT
ISARFQ,BKRFQ_NUM,ISAPQTQT
ISCARFUP,IS_CARFUP_CAR,ISACARFU
ISCHAINM,IS_CHAIN_USER,ISCHAIN
ISESTASM,MTESUM_QUOTE,ESTSUM
ISESTDTL,IS_EST_NUM,ISESADTL
ISESTPO,BKMRP_PO_VEND,BKMRPPO
ISESTPO,BKMRP_PO_VEND,BKSOPO
ISESTPO,BKMRP_PO_VEND,BKWOPO
ISFSEMP,IS_FIB_CLASS,ISFSCLAS
ISGLFCOA,ISGL_ACCT,ISGLBDGT
ISGLFCOA,ISGL_ACCT,ISGLCOA
ISGLHDAT,ISGL_FYDATE,ISGLDATE
ISICAPMT,BKIC_PMAT_CUST,BKICAPMA
ISICAPMT,BKIC_PMAT_CUST,BKICPMAT
ISICAPMT,BKIC_PMAT_CUST,DISCOUNT
ISICAREF,BKIC_REF_CUST,BKICREF
ISICMSTR,IS_PROD_CODE,ISICAMTR
ISJBSF,ISBSF_STARTDATE,ISBSF
ISLINKS,IS_LNK_UID,ISALINKS
ISMYBOM,BKBM_PARENT,BKBMAMTR
ISMYBOM,BKBM_PARENT,BKBMARC
ISMYBOM,BKBM_PARENT,BKBMAVAL
ISMYBOM,BKBM_PARENT,BKBMEMTR
ISMYBOM,BKBM_PARENT,BKBMMSTR
ISMYBOM,BKBM_PARENT,BKBMSUMM
ISMYBOM,BKBM_PARENT,ISBMESA
ISMYBOM,BKBM_PARENT,ISBMEST
ISMYBOM,BKBM_PARENT,ISBMTMP
ISNCR,IS_NCR_NUM,ISACAR
ISNCR,IS_NCR_NUM,ISANCR
ISNCR,IS_NCR_NUM,ISCAR
ISPODESC,IORD_DESC_CODE,ISORDDSC
ISPOS,BKCM_ACCL_CODE,BKCMACCL
ISPOS,BKCM_ACCL_CODE,BKCMEACC
ISPOS,BKCM_ACCL_CODE,ISBRANDS
ISPOSC,BKCM_ACCC_CCODE,BKCMACCC
ISPOSC,BKCM_ACCC_CCODE,ISBRANDC
ISPRAHST,BKPR_CURP_EMPNM,BKPRCURP
ISPRAHST,BKPR_CURP_EMPNM,BKPRHIST
ISPRAINF,BKPR_INFO_NUM,BKPRINFO
ISPRCONS,ISPR_CNS_EMP,ISPRACON
ISPRMSTR,BKPR_EMP_NUM,BKPRMSTR
ISPRMSTR,BKPR_EMP_NUM,BKPRW2
ISPRMSTR,BKPR_EMP_NUM,ISPRAMST
ISPRSALE,BKPR_SLS_EMPNUM,BKPRBOOK
ISPRSALE,BKPR_SLS_EMPNUM,BKPRSALE
