IS_JAVA_UID,IS_JAVA_PARAM_1,IS_JAVA_PARAM_2,IS_JAVA_PARAM_3,IS_JAVA_PARAM_4,IS_JAVA_PARAM_5,IS_JAVA_PARAM_6,IS_JAVA_PARAM_7,IS_JAVA_PARAM_8,IS_JAVA_PARAM_9,IS_JAVA_PARAM_10,IS_JAVA_PARAM_11,IS_JAVA_PARAM_12,IS_JAVA_PARAM_13,IS_JAVA_PARAM_14,IS_JAVA_PARAM_15,IS_JAVA_PARAM_16,IS_JAVA_PARAM_17,IS_JAVA_PARAM_18,IS_JAVA_PARAM_19,IS_JAVA_PARAM_20,IS_JAVA_PARAM_21,IS_JAVA_PARAM_22,IS_JAVA_PARAM_23,IS_JAVA_PARAM_24,IS_JAVA_PARAM_25,IS_JAVA_DATE
-i,0,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-03
ADMIN102433A20220519,2,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-19
ASTEMPIEN015256P20230403,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-03
ASTEMPIEN075547A20230821,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-21
ASTEMPIEN080855A20230605,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-05
ASTEMPIEN080946A20230915,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-15
ASTEMPIEN081044A20230425,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-25
ASTEMPIEN081409A20230504,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-04
ASTEMPIEN081535A20231010,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-10
ASTEMPIEN081634A20230825,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-25
ASTEMPIEN081648A20240913,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-13
ASTEMPIEN082804A20231013,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-13
ASTEMPIEN084710A20230421,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-21
ASTEMPIEN092445A20230424,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-24
ASTEMPIEN115712A20231002,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-02
BHEBERT070253A20230926,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-26
BSCHIBI010308P20240523,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-23
BSCHIBI010844P20220509,2,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-09
BSCHIBI011327P20240418,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-18
BSCHIBI011336P20221108,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-08
BSCHIBI011513P20220513,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-13
BSCHIBI011741P20211210,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-10
BSCHIBI011921P20220111,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-11
BSCHIBI012011P20230109,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-09
BSCHIBI012700P20230503,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-03
BSCHIBI012946P20230621,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-21
BSCHIBI013155P20230824,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-24
BSCHIBI013210P20230120,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-20
BSCHIBI013424P20220817,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-17
BSCHIBI014841P20231211,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-11
