code,module,description,rwn/run_modules,dfm_forms,help_title
AD-A,AD,General Ledger Defaults,BKADB,,General Ledger Defaults
AD-B,AD,Checking Accounts Defaults,BKADC,,Checking Account Defaults
AD-C,AD,Accounts Payable Defaults,BKADD,,Accounts Payable Defaults
AM-A,AM,Reset Period-End Close Date,BKAMA,T7AMA.DFM,Reset General Ledger Close Date
AM-B,AM,Fiscal Year End Routine,BKAMB;BKAMBUT,T7AMB.DFM,Fiscal Year End Routine
AM-C,AM,Create General Ledger Accounts,BKAMC,T7AMC.DFM,Enter General Ledger Accounts
AM-D,AM,Print GL Code and Description,BKAMD;BKGLG,T7AMD.DFM,Enter General Ledger Departments
AM-E,AM,Format Standard Financial Statements,BKAMH,T7AME.DFM,Format Standard Financial Statements
AM-F,AM,Format Custom Financial Statements,BKAMI,,Format Custom Financial Statements
AM-G,AM,Consolidate Financials,BKAMJ,T7AMG.DFM,Consolidate Financials
AM-H,AM,Change GL Account Codes,BKAMO,T7AMH.DFM,Change Account Codes
AM-I,AM,Consolidate General Ledger Detail,BKAMPA;T6AMPA,T7AMI.DFM,Consolidate Gl Detail
AM-J,AM,Purge AP Vouchers,BKAMPB;ISAMJ,T7AMJ.DFM,Archive Purge Ap History
AM-K,AM,Rebuild Customer/Vendor Totals,BKCVUTIL;ISAMK,T7AMK.DFM,Archive Purge Ar History
AM-L,AM,Purge AP Payment History,BKAML,,
AM-N,AM,Maintain GL Fiscal Periods,ISAMN,T7AMN.DFM,Maintain Gl Fiscal Periods
AM-O,AM,Archive/Purge/Restore Vendor,ISAMO,T7AMO.DFM,Archive Purge Vendor Data
AM-P,AM,Checking Orphans,BKAMP;ISAMP,T7AMP.DFM,Archive Purge Customer Data
AM-P-F,AM,Purge Commission Transactions,BKAMPF,,
AM-Q,AM,Enter GL Budgets,BKAMQ;ISAMQ,T7AMQ.DFM,Enter Budget Information
AM-R,AM,Out Of Balance Report,,,Out Of Balance Report
AM-S,AM,Purge Or Archive Gl Journ,,,Purge Or Archive Gl Journ
AM-T,AM,Archive Gl Transaction De,,,Archive Gl Transaction De
AP-A,AP,Enter Vendors,BKAPA,T7APA.DFM;T7APABANK.DFM;T7APACON.DFM;T7APAPRC.DFM;T7APASTA.DFM;t7apaC.DFM;t7apae.DFM,Enter Vendors
AP-B,AP,Enter Vouchers,BKAPB;T6APB,T7APB.DFM,Enter Vouchers
AP-C,AP,Enter Purchase Order Invoices,,,Enter Purchase Order Invoices
AP-D,AP,Enter Scheduled Payment Dates,BKAPD,T7APD.DFM,Enter Scheduled Payment Dates
AP-E,AP,Print Vouchers/Invoices Due by Date,BKAPE;t6ape,T7APE.DFM,Print Vouchers Invoices Due By Date
AP-F,AP,Pick Vouchers/Invoices to Pay,BKAPF,t7apf.dfm,Pick Vouchers Invoices To Pay
AP-G,AP,Print Pro Forma Check Register,BKAPG;ISTECH;t6apg,t7apg.dfm,Print Pro Forma Check Register
AP-H,AP,Print Checks,BKAPHA;T6APHA,T7APH.DFM;T7APHASK.DFM,Print Checks
AP-I,AP,Print Aging,BKAPI;T6API,T7API.DFM;T7APINFO.DFM,Print Aging
AP-J,AP,Print Vendor Code and Name,BKAPJ;t6apj,T7APJ.DFM,Print Vendor Code And Name
AP-K,AP,Print Vendor General Info,BKAPK,T7APK.DFM,Print Vendor General Info
AP-L,AP,Print Vendor Purchase Info,BKAPL;t6apl,t7apl.DFM,
AP-M,AP,Print Vendor Labels,BKAPM;t6apm,T7APM.DFM,Print Vendor Labels
AP-N,AP,Print Vendor Rolodex,BKAPN,,Enter Vouchers Edit Address
AP-O,AP,Enter Recurring Vouchers,BKAPO;ISAPO,T7APO.DFM,Enter Recurring Vouchers And Templates
AP-P,AP,Generate Recurring Vouchers,BKAPP,T7APP.DFM,Generate Recurring Vouchers
AP-Q,AP,Void AP Check,BKAPQ,T7APQ.DFM,Void Ap Check
AP-R,AP,Print AP Payment History,BKAPR,T7APR.DFM,Print Ap Payment History
AP-S,AP,Print 1099 Forms,APS1999;APS2000;TAPS2000,T7APS.DFM,Print 1099 Forms
AP-T,AP,Check Invoice Inquiry,,,Check Invoice Inquiry
AP-U,AP,Archive/Purge Vendor,ISAPU;ISAPV,,
AP-V,AP,Enter Ap Deposit,,,Enter Ap Deposit
AP-X,AP,Print Invoice Detail,,,Print Invoice Detail
AR-A,AR,Enter Customers,BKARA,T7ARA.DFM;T7ARA2DB.DFM;T7ARAC.DFM;T7ARACON.DFM;T7ARACRE.DFM;T7ARAE.DFM;T7ARAPRC.DFM;T7ARASTA.DFM,Enter Customers
AR-B,AR,Enter Vouchers,BKARB;T6ARB,T7ARB.DFM,Enter Vouchers
AR-C,AR,Record Payments,BKARC;T6ARC,T7ARC.DFM,Record Payments
AR-D,AR,Charge Interest on Invoices,BKARD,T7ARD.DFM,Charge Interest On Invoices
AR-E,AR,Print Statements,BKARE;T6ARE,T7ARE.DFM,Print Statements
AR-F,AR,Print Aging,BKARF;T6ARF,T7ARF.DFM,Print Aging
AR-G,AR,Print Customer Code and Name,BKARG,T7ARG.DFM,Print Customer Code And Name
AR-H,AR,Print Customer General Info,BKARH,T7ARH.DFM,Print Customer General Info
AR-I,AR,Print Customer Mail Labels,BKARI;T6ARI,T7ARI.DFM,Print Customer Mail Labels
AR-J,AR,Print Customer Rolodex,BKARJ;rolodex.run,,
AR-K,AR,Print Sales Tax Report,BKARK,T7ARK.DFM,Print Sales Tax Report
AR-L,AR,Transfer Sales Taxes,BKARL,T7ARL.DFM,Transfer Sales Taxes
AR-M,AR,Enter Customer Refund,BKARM,T7ARM.DFM,Enter Customer Refund
AR-N,AR,Print Customer Deposits,BKARN;T6arn,T7ARN.DFM,Enter Print Sales Order Deposits
AR-P,AR,Generate Dun Letters,BKARP;T6ARP,T7ARP.DFM,Generate Dun Leters
AR-Q,AR,View Customers,BKARA,,View Customer Information
AR-R,AR,Print Customer Payment History,,,Print Customer Payment History
AR-S,AR,Accounts Receivable Defaults,BKADE,,
BM-A,BM,Ener Bills Of Material,,,Ener Bills Of Material
BM-B,BM,Print Bills Of Materials,,,Print Bills Of Materials
BM-C,BM,Print Where Used,BKBMC,T7BMC.DFM,Print Where Used
BM-D,BM,Print BOM Availability,BKBMD,T7BMD.DFM,Print Summarized Bom
BM-E,BM,Global Replace,BKBME,T7BME.DFM,Global Replace
BM-F,BM,Global Delete,BKBMF,T7BMF.DFM,Global Delete
