code,module,operation,group,module_name,menu_text,program
ADA,AD,A,Accounting,Accounting Defaults,&A - General Ledger Defaults,T7DSGL.rwn
ADB,AD,B,Accounting,Accounting Defaults,&B - Checking Accounts Defaults,T7DSCK.rwn
ADC,AD,C,Accounting,Accounting Defaults,&C - Accounts Payable Defaults,T7DSAP.rwn
AMA,AM,A,Accounting,Accounting Maintenance,&A - Reset Period-End Close Date,t7ama.rwn
AMB,AM,B,Accounting,Accounting Maintenance,&B - Fiscal Year End Routines,t7amb.rwn
AMC,AM,C,Accounting,Accounting Maintenance,&C - Enter General Ledger Accounts,T7AMC.RWN
AMD,AM,D,Accounting,Accounting Maintenance,&D - Enter General Ledger Departments,t7amd.rwn
AME,AM,E,Accounting,Accounting Maintenance,&E - Format Standard Financial Statement,t7ame.rwn
AMF,AM,F,Accounting,Accounting Maintenance,&F - Format Custom Financial Statements,t6amf.run
AMG,AM,G,Accounting,Accounting Maintenance,&G - Consolidate Financials,t7amg.rwn
AMH,AM,H,Accounting,Accounting Maintenance,&H - Change GL Account Codes,t7amh.rwn
AMI,AM,I,Accounting,Accounting Maintenance,&I - Consolidate General Ledger Detail,t7ami.rwn
AMJ,AM,J,Accounting,Accounting Maintenance,&J - Purge/Archive AP History,t7amj.rwn
AMK,AM,K,Accounting,Accounting Maintenance,&K - Purge/Archive AR History,t7amk.rwn
AMN,AM,N,Accounting,Accounting Maintenance,&N - Maintain GL Fiscal Periods,T7AMN.RWN
AMO,AM,O,Accounting,Accounting Maintenance,&O - Purge/Archive Vendor Data,t7amo.rwn
AMP,AM,P,Accounting,Accounting Maintenance,&P - Purge/Archive Customer Data,t7amp.rwn
AMQ,AM,Q,Accounting,Accounting Maintenance,&Q - Enter Budget Amounts,t7amq.rwn
AMR,AM,R,Accounting,Accounting Maintenance,&R - Out of Balance Report,T7GLOOB.RWN
AMS,AM,S,Accounting,Accounting Maintenance,&S - Purge/Archive GL Journals,t7ams.rwn
AMT,AM,T,Accounting,Accounting Maintenance,&T - Archive GL Transaction Detail,T7GLARCH.RWN
APA,AP,A,Accounting,Accounts Payable,&A - Enter Vendors,t7apa.rwn
APB,AP,B,Accounting,Accounts Payable,&B - Enter Vouchers,t7apb.rwn
APC,AP,C,Accounting,Accounts Payable,&C - Enter Purchase Order Invoices,t7apc.rwn
APD,AP,D,Accounting,Accounts Payable,&D - Enter Scheduled Payment Dates,t7apd.rwn
APE,AP,E,Accounting,Accounts Payable,&E - Print Vouchers/Invoices Due by Date,t7ape.rwn
APF,AP,F,Accounting,Accounts Payable,&F - Pick Vouchers/Invoices to Pay,t7apf.rwn
APG,AP,G,Accounting,Accounts Payable,&G - Print Pro Forma Check Register,t7apg.rwn
APH,AP,H,Accounting,Accounts Payable,&H - Print Checks,t7aph.rwn
API,AP,I,Accounting,Accounts Payable,&I - Print Aging,t7api.rwn
APJ,AP,J,Accounting,Accounts Payable,&J - Print Vendor Code and Name,t7apj.rwn
APK,AP,K,Accounting,Accounts Payable,&K - Print Vendor General Info,t7apk.rwn
APL,AP,L,Accounting,Accounts Payable,&L - Print Vendor Purchase Info,t7apl.rwn
APM,AP,M,Accounting,Accounts Payable,&M - Print Vendor Labels,t7apm.rwn
APN,AP,N,Accounting,Accounts Payable,&N - Enter Vouchers (Edit Address),t7apn.rwn
APO,AP,O,Accounting,Accounts Payable,&O - Enter Recurring Vouchers,t7apo.rwn
APP,AP,P,Accounting,Accounts Payable,&P - Generate Recurring Vouchers,t7app.rwn
APQ,AP,Q,Accounting,Accounts Payable,&Q - Void AP Check,t7apq.rwn
APR,AP,R,Accounting,Accounts Payable,&R - Print AP Payment History,t7apr.rwn
APS,AP,S,Accounting,Accounts Payable,&S - Print 1099 Forms,t7aps.rwn
APT,AP,T,Accounting,Accounts Payable,&T - AP Check Inquiry,T7APT.RWN
APU,AP,U,Accounting,Accounts Payable,&U - View Vendor Information,T7APU.RWN
APV,AP,V,Accounting,Accounts Payable,&V - Enter Vendor Deposit,T7APV.RWN
APW,AP,W,Accounting,Accounts Payable,&W - Accounts Payable Defaults,T7DSAP.RWN
APX,AP,X,Accounting,Accounts Payable,&X - Print Invoice Details,T7APX.RWN
APY,AP,Y,Accounting,Accounts Payable,&Y - Remittance Options,
APYA,AP,YA,Accounting,Accounts Payable,&A - Print Remittance Advice,T7APY.RWN
APYB,AP,YB,Accounting,Accounts Payable,&B - Positive Pay,T7APYB.RWN
APYC,AP,YC,Accounting,Accounts Payable,&C - NACHA Upload,T7APYC.RWN
APZ,AP,Z,Accounting,Accounts Payable,&Z - Reports,
APZA,AP,ZA,Accounting,Accounts Payable,&A - Top Vendor Listing,t7apza.rwn
ARA,AR,A,Sales,Accounts Receivable,&A - Enter Customers,t7ara.rwn
ARB,AR,B,Sales,Accounts Receivable,&B - Enter Vouchers,t7arb.rwn
ARC,AR,C,Sales,Accounts Receivable,&C - Record Payments,t7arc.rwn
ARD,AR,D,Sales,Accounts Receivable,&D - Charge Interest on Invoices,t7ard.rwn
ARE,AR,E,Sales,Accounts Receivable,&E - Print Statements,t7are.rwn
ARF,AR,F,Sales,Accounts Receivable,&F - Print Aging,t7arf.rwn
ARG,AR,G,Sales,Accounts Receivable,&G - Print Customer Code and Name,t7arg.rwn
ARH,AR,H,Sales,Accounts Receivable,&H - Print Customer General Info,t7arh.rwn
ARI,AR,I,Sales,Accounts Receivable,&I - Print Customer Mail Labels,t7ari.rwn
ARK,AR,K,Sales,Accounts Receivable,&K - Print Sales Tax Report,t7ark.rwn
