code,module,description,sources
AD-A,AD,General Ledger Defaults,BKADB
AD-B,AD,Checking Accounts Defaults,BKADC
AD-C,AD,Accounts Payable Defaults,BKADD
AM-A,AM,Reset Period-End Close Date,BKAMA
AM-B,AM,Fiscal Year End Routine,BKAMB;BKAMBUT
AM-C,AM,Create General Ledger Accounts,BKAMC
AM-D,AM,Print GL Code and Description,BKAMD;BKGLG
AM-E,AM,Format Standard Financial Statements,BKAMH
AM-F,AM,Format Custom Financial Statements,BKAMI
AM-G,AM,Consolidate Financials,BKAMJ
AM-H,AM,Change GL Account Codes,BKAMO
AM-I,AM,Consolidate General Ledger Detail,BKAMPA;T6AMPA
AM-J,AM,Purge AP Vouchers,BKAMPB;ISAMJ
AM-K,AM,Rebuild Customer/Vendor Totals,BKCVUTIL;ISAMK
AM-L,AM,Purge AP Payment History,BKAML
AM-N,AM,Maintain GL Fiscal Periods,ISAMN
AM-O,AM,Archive/Purge/Restore Vendor,ISAMO
AM-P,AM,Checking Orphans,BKAMP;ISAMP
AM-P-F,AM,Purge Commission Transactions,BKAMPF
AM-Q,AM,Enter GL Budgets,BKAMQ;ISAMQ
AP-A,AP,Enter Vendors,BKAPA
AP-B,AP,Enter Vouchers,BKAPB;T6APB
AP-D,AP,Enter Scheduled Payment Dates,BKAPD
AP-E,AP,Print Vouchers/Invoices Due by Date,BKAPE;t6ape
AP-F,AP,Pick Vouchers/Invoices to Pay,BKAPF
AP-G,AP,Print Pro Forma Check Register,BKAPG;ISTECH;t6apg
AP-H,AP,Print Checks,BKAPHA;T6APHA
AP-I,AP,Print Aging,BKAPI;T6API
AP-J,AP,Print Vendor Code and Name,BKAPJ;t6apj
AP-K,AP,Print Vendor General Info,BKAPK
AP-L,AP,Print Vendor Purchase Info,BKAPL;t6apl
AP-M,AP,Print Vendor Labels,BKAPM;t6apm
AP-N,AP,Print Vendor Rolodex,BKAPN
AP-O,AP,Enter Recurring Vouchers,BKAPO;ISAPO
AP-P,AP,Generate Recurring Vouchers,BKAPP
AP-Q,AP,Void AP Check,BKAPQ
AP-R,AP,Print AP Payment History,BKAPR
AP-S,AP,Print 1099 Forms,APS1999;APS2000;TAPS2000
AP-U,AP,Archive/Purge Vendor,ISAPU;ISAPV
AR-A,AR,Enter Customers,BKARA
AR-B,AR,Enter Vouchers,BKARB;T6ARB
AR-C,AR,Record Payments,BKARC;T6ARC
AR-D,AR,Charge Interest on Invoices,BKARD
AR-E,AR,Print Statements,BKARE;T6ARE
AR-F,AR,Print Aging,BKARF;T6ARF
AR-G,AR,Print Customer Code and Name,BKARG
AR-H,AR,Print Customer General Info,BKARH
AR-I,AR,Print Customer Mail Labels,BKARI;T6ARI
AR-J,AR,Print Customer Rolodex,BKARJ;rolodex.run
AR-K,AR,Print Sales Tax Report,BKARK
AR-L,AR,Transfer Sales Taxes,BKARL
AR-M,AR,Enter Customer Refund,BKARM
AR-N,AR,Print Customer Deposits,BKARN;T6arn
AR-P,AR,Generate Dun Letters,BKARP;T6ARP
AR-Q,AR,View Customers,BKARA
AR-S,AR,Accounts Receivable Defaults,BKADE
BM-C,BM,Print Where Used,BKBMC
BM-D,BM,Print BOM Availability,BKBMD
BM-E,BM,Global Replace,BKBME
BM-F,BM,Global Delete,BKBMF
BM-G,BM,IN-B     IN-L-A     SO-Q-,AUTOBMG;BKBMG;ISSMJS
BM-H,BM,Print BOM at Average Cost,BKBMH;BKBMH1
BM-I,BM,Print Summarized BOM,BKBMI
BM-J,BM,Enter Approved Substitutes,BKBMJ
BM-J-C,BM,Enter Approved Manufacturers,BKBMJC
BM-X,BM,BOM report,BKBMX
CS-A,CS,Enter Salespersons,BKCSA
CS-B,CS,Enter Vendors,BKAPA;BKCSB;BKPOP
CS-C,CS,Print Salespersons Info,BKCSC
CS-D,CS,Transfer Sales Commissions,BKCSD
CS-E,CS,Print Commission Detail,BKCSE;BKCSE1
CS-F,CS,Print Commission Summary,BKCSF
CS-G,CS,Print Slsp1 Commission Detail,BKCSG
CS-H,CS,Print Slsp1 Commission Summary,BKCSH
CS-I,CS,Print Slsp2 Commission Detail,BKCSI
CS-J,CS,Print Slsp2 Commission Summary,BKCSJ
CS-L,CS,Print Price Code Commissions,BKINMI
CS-N,CS,Print Contract Price Commissions,BKINMI
CS-O,CS,Print Commission Earned Detail,BKCSOC;BKCSOI
CS-P,CS,Print Commissions Due Summary,BKCSP
CS-Q,CS,Commission Year End Routine,bkcsq.run
CS-R,CS,View Salespersons Booking Info,j6crprbk
DC-A,DC,Print Transfer Labels,J5ISDCA;J6ISDCA
DC-D,DC,View/Print Labor Status,BKDCD;t6dcd
DC-E,DC,Print Labor Tickets,BKDCE;T6DCE
DC-F,DC,Print Employee Tickets,BKDCF;T6DCF
DC-G,DC,Edit Labor Transactions,BKDCG;BKDCGMSG;CBKWOM;J5HDWOM
DC-H,DC,Filelock on TOOL -,AUTODCH;BKDCH;UMCDCP
DC-I,DC,View,BKDCI
DE-A,DE,Export Data,BKDEA
DE-B,DE,Import Inventory,BKDEB
DE-C,DE,Import Bills of Material,BKDEC
DE-D,DE,Import Routings,BKDED
DE-E,DE,Import Customers,BKDEE
DE-F,DE,Import Vendors,BKDEF
DE-G,DE,Import Chart of Accounts,BKDEG
DE-H,DE,Import Labor,BKDEH
DE-H-A,DE,Import Labor,BKDEHA
DE-H-B,DE,Import Material Issues,BKDEHB
DE-H-C,DE,Import Finished Production,BKDEHC
DE-H-D,DE,Import Physical Inventory Count,BKDEHD
DE-I-A,DE,Print Inventory Errors,BKDEIA
DE-I-B,DE,Print Bills of Material Errors,BKDEIB
DE-I-C,DE,Print Routings Errors,BKDEIC
DE-I-D,DE,Print Chart of Accounts Errors,BKDEID
DE-I-E,DE,Print Labor Errors,BKDEIE
DE-J-A,DE,Edit Imported Inventory,BKDEJA;BKINB;t6INB;t6INBC
DE-J-C,DE,Edit Imported Routings,BKDEJC;BKROA
DE-J-D,DE,Edit Imported Customers,BKARA
DE-J-E,DE,Edit Imported Vendors,BKAPA;BKPOP
DE-J-F,DE,Edit Imported Chart of Accounts,BKDEJF
DE-J-G,DE,Edit Imported Labor,BKDEJG
DE-J-H,DE,Imported Material Issue,BKDEJH
DE-J-I,DE,Edit Imported WO Receipts,BKDEJI
DE-K,DE,Global Field Change,BKDEK
DE-L,DE,Erase Files,BKDEL
DE-M,DE,MR-D     IN-L-,BKDEM;ISSMJS
DE-O,DE,Export GL Data to QuickBooks,BKDEO
DE-Q,DE,Import Open Receivables,ISDEQ
DE-R,DE,Import Open Payables,ISDER
DE-S,DE,Import Item Links,ISILDE
DE-T,DE,Import FIFO Layers,ISDET
DI-G,DI,Import Labor,BKDIG
ED-B,ED,Import EDI Orders,BKEDB;ISEDIB;ISEDIX;NBEDIB;t6edib
ED-C,ED,Edit EDI Orders,BKEDC
ED-D,ED,Convert EDI Orders to Sales Orders,BKEDD;ISEDID;t6edid
ED-E,ED,Export EDI Orders,T6EDIE;t6ediex
ED-G,ED,Master EDI Set-up,BKEDG
ED-H,ED,Error report,ISEDIH
ES-A,ES,Copy RFQs,BKESA;BKPOA;BKPOA1;BKPOF;T6POA
ES-B,ES,Print Estimates,BKESB
ES-C,ES,Enter Quote Templates,BKESC
ES-E,ES,Convert Estimates,BKESE
ES-F,ES,Copy Estimates,BKESF
ES-G,ES,Print Estimate Listing,BKESG
ES-H,ES,Enter Material Costs,BKESH
ES-I,ES,Print Material Costs,BKESI
FO-C,FO,Enter Option Prices,BKFOC
FO-D,FO,Print Option Prices,BKFOD
FO-E,FO,Print Option Where Used,BKFOE
GL-A,GL,Edit Budgets,BKGLA
GL-B,GL,Add new GJ Transaction,BKGLB
GL-D,GL,Print Journals,BKGLD
GL-F,GL,Print Financial Statements,BKGLF
GL-G,GL,Print GL Code and Description,BKGLG
GL-H,GL,Print Chart of Accounts,BKGLH
GL-I,GL,Print Check Register,BKGLI
GL-J,GL,Reconcile Check Register,BKGLJ
GL-K,GL,Transfer Bank Account Funds,BKGLK
GL-M,GL,Generate Recurring GJ Transactions,BKGLM
GL-N,GL,Print Custom Statements,BKGLN
GL-O,GL,Print/Post GL Batches,BKGLO;t6glo
GL-P,GL,Edit GL Batch Entries,BKGLP
GL-Q,GL,Reverse Batch Posting,BKGLQ
GL-R,GL,Business Status,ISBS
GL-S,GL,View GL Journal Notes,BKGLS
IN-A,IN,Inventory Inquiry,BKINA;lbkina.run;t6INA;t6INAC
IN-B,IN,Enter Inventory,BKINB;ISTECH;t6INB;t6INBC
IN-C,IN,Enter Inventory Adjustments,BKINC
