code,description,dfms
AD-A,General Ledger Defaults,
AD-B,Checking Accounts Defaults,
AD-C,Accounts Payable Defaults,
AM-A,Reset Period-End Close Date,T7AMA.DFM
AM-B,Fiscal Year End Routine,T7AMB.DFM
AM-C,Create General Ledger Accounts,T7AMC.DFM
AM-D,Print GL Code and Description,T7AMD.DFM
AM-E,Format Standard Financial Statements,T7AME.DFM
AM-F,Format Custom Financial Statements,
AM-G,Consolidate Financials,T7AMG.DFM
AM-H,Change GL Account Codes,T7AMH.DFM
AM-I,Consolidate General Ledger Detail,T7AMI.DFM
AM-J,Purge AP Vouchers,T7AMJ.DFM
AM-K,Rebuild Customer/Vendor Totals,T7AMK.DFM
AM-L,Purge AP Payment History,
AM-N,Maintain GL Fiscal Periods,T7AMN.DFM
AM-O,Archive/Purge/Restore Vendor,T7AMO.DFM
AM-P,Checking Orphans,T7AMP.DFM
AM-P-F,Purge Commission Transactions,
AM-Q,Enter GL Budgets,T7AMQ.DFM
AP-A,Enter Vendors,T7APA.DFM;T7APABANK.DFM;T7APACON.DFM;T7APAPRC.DFM;T7APASTA.DFM;t7apaC.DFM;t7apae.DFM
AP-B,Enter Vouchers,T7APB.DFM
AP-D,Enter Scheduled Payment Dates,T7APD.DFM
AP-E,Print Vouchers/Invoices Due by Date,T7APE.DFM
AP-F,Pick Vouchers/Invoices to Pay,t7apf.dfm
AP-G,Print Pro Forma Check Register,t7apg.dfm
AP-H,Print Checks,T7APH.DFM;T7APHASK.DFM
AP-I,Print Aging,T7API.DFM;T7APINFO.DFM
AP-J,Print Vendor Code and Name,T7APJ.DFM
AP-K,Print Vendor General Info,T7APK.DFM
AP-L,Print Vendor Purchase Info,t7apl.DFM
AP-M,Print Vendor Labels,T7APM.DFM
AP-N,Print Vendor Rolodex,
AP-O,Enter Recurring Vouchers,T7APO.DFM
AP-P,Generate Recurring Vouchers,T7APP.DFM
AP-Q,Void AP Check,T7APQ.DFM
AP-R,Print AP Payment History,T7APR.DFM
AP-S,Print 1099 Forms,T7APS.DFM
AP-U,Archive/Purge Vendor,
AR-A,Enter Customers,T7ARA.DFM;T7ARA2DB.DFM;T7ARAC.DFM;T7ARACON.DFM;T7ARACRE.DFM;T7ARAE.DFM;T7ARAPRC.DFM;T7ARASTA.DFM
AR-B,Enter Vouchers,T7ARB.DFM
AR-C,Record Payments,T7ARC.DFM
AR-D,Charge Interest on Invoices,T7ARD.DFM
AR-E,Print Statements,T7ARE.DFM
AR-F,Print Aging,T7ARF.DFM
AR-G,Print Customer Code and Name,T7ARG.DFM
AR-H,Print Customer General Info,T7ARH.DFM
AR-I,Print Customer Mail Labels,T7ARI.DFM
AR-J,Print Customer Rolodex,
AR-K,Print Sales Tax Report,T7ARK.DFM
AR-L,Transfer Sales Taxes,T7ARL.DFM
AR-M,Enter Customer Refund,T7ARM.DFM
AR-N,Print Customer Deposits,T7ARN.DFM
