table,pk_segment,pk_field,field_type,field_size,flags
AHSYLOG,1,AHSY_USER_LEVL,0,2,DUP
AHSYLOG,2,AHSY_USER_MENU,0,4,DUP
ARTTEMP,1,BKART_TRXN,2,8,DUP
BKABCUST,1,BKAB_START,3,4,DUP
BKABVEND,1,BKAB_SERIAL,2,8,DUP
BKACTRPT,1,BKAC_TYPE,0,8,DUP
BKACTRPT,2,BKAC_NAME,0,15,DUP
BKAPACCN,1,BKCM_ACCN_CODE,0,10,DUP
BKAPADSC,1,BK_DESC_CODE,0,15,DUP
BKAPAPO,1,BKAP_PO_NUM,2,8,DUP
BKAPAPOL,1,BKAP_POL_PONM,2,8,DUP
BKAPCHKF,1,BKAP_CHK_VNDCOD,0,10,DUP
BKAPCHKF,2,BKAP_CHK_INVNUM,0,10,DUP
BKAPCHKH,1,BKAP_CHK_VNDCOD,0,10,DUP
BKAPCHKH,2,BKAP_CHK_INVNUM,0,10,DUP
BKAPDEP,1,BKAR_DEP_DEPNO,2,8,DUP
BKAPDESC,1,BK_DESC_CODE,0,15,DUP
BKAPEIVT,1,BKAP_INVT_CODE,0,10,DUP
BKAPEVND,1,BKAP_VENDCODE,0,10,
BKAPHDSC,1,BK_DESC_CODE,0,15,DUP
BKAPHPO,1,BKAP_PO_NUM,2,8,DUP
BKAPHPOL,1,BKAP_POL_PONM,2,8,DUP
BKAPINVL,1,BKAP_INVL_CODE,0,10,DUP
BKAPINVL,2,BKAP_INVL_NUM,0,10,DUP
BKAPINVT,1,BKAP_INVT_CODE,0,10,DUP
BKAPNOTE,1,BKAP_NOTE_SRCH1,0,10,DUP
BKAPNOTE,2,BKAP_NOTE_SRCH2,0,10,DUP
BKAPNOTE,3,BKAP_NOTE_DATE,3,4,DUP
BKAPNOTE,4,BKAP_NOTE_ENTBY,0,10,DUP
BKAPPO,1,BKAP_PO_NUM,2,8,DUP
BKAPPOL,1,BKAP_POL_PONM,2,8,DUP
BKAPQUOT,1,BKRFQ_NUM,2,8,DUP
BKAPRFQ,1,BKAP_PO_NUM,2,8,DUP
BKAPRFQL,1,BKAP_POL_PONM,2,8,DUP
BKAPRIVL,1,BKAP_INVL_CODE,0,10,DUP
BKAPRIVL,2,BKAP_INVL_NUM,0,10,DUP
BKAPVEND,1,BKAP_VENDCODE,0,10,
BKAPVND2,1,BKAP2_VENDCODE,0,10,DUP
BKARCHKF,1,BKAP_CHK_VNDCOD,0,10,DUP
BKARCHKF,2,BKAP_CHK_INVNUM,0,10,DUP
BKARCHKH,1,BKAP_CHK_VNDCOD,0,10,DUP
BKARCHKH,2,BKAP_CHK_INVNUM,0,10,DUP
BKARCUST,1,BKAR_CUSTCODE,0,10,
BKARDEP,1,BKAR_DEP_DEPNO,2,8,DUP
BKARDESC,1,BK_DESC_CODE,0,15,DUP
BKARDPST,1,BK_DESC_CODE,0,15,DUP
BKARECST,1,BKAR_CUSTCODE,0,10,
BKAREIVT,1,BKAR_INVT_CODE,0,10,DUP
BKAREIVT,2,BKAR_INVT_DATE,3,4,DUP
BKAREIVT,3,BKAR_INVT_NUM,2,8,DUP
BKARHDSC,1,BK_DESC_CODE,0,15,DUP
BKARHINV,1,BKAR_INV_NUM,2,8,DUP
BKARHIVL,1,BKAR_INVL_INVNM,2,8,DUP
BKARHTAX,1,BKAR_TAX_INVNO,2,8,DUP
BKARINV,1,BKAR_INV_NUM,2,8,DUP
BKARINVI,1,BKAR_INVI_SONUM,2,8,DUP
BKARINVL,1,BKAR_INVL_INVNM,2,8,DUP
BKARINVT,1,BKAR_INVT_CODE,0,10,DUP
BKARINVT,2,BKAR_INVT_DATE,3,4,DUP
BKARINVT,3,BKAR_INVT_NUM,2,8,DUP
BKARINVV,1,BKAR_INVV_CODE,0,10,DUP
BKARINVV,2,BKAR_INVV_NUM,0,6,DUP
BKARRDSC,1,BK_DESC_CODE,0,15,DUP
BKARRINV,1,BKAR_INV_NUM,2,8,DUP
BKARRIVL,1,BKAR_INVL_INVNM,2,8,DUP
BKARSHIP,1,BKAR_CUSTCODE,0,10,
BKARSIVL,1,BKAR_INVL_INVNM,2,8,DUP
BKART,1,BKART_TRXN,2,8,DUP
BKARTNOT,1,BKART_NOT_TRXN,2,8,DUP
BKARTXN,1,BKAR_TXN_SONUM,2,8,DUP
BKARTXNB,1,BKAR_TXN_SONUM,2,8,DUP
BKARTXNS,1,BKAR_TXN_SONUM,2,8,DUP
BKBMAMTR,1,BKBM_PARENT,0,15,DUP
BKBMARC,1,BKBM_PARENT,0,15,DUP
BKBMAVAL,1,BKBM_PARENT,0,15,DUP
BKBMCNFG,1,BKBM_CNFG_NUM,2,8,DUP
BKBMDIM,1,BKBM_DIM_PARENT,0,15,DUP
BKBMEMTR,1,BKBM_PARENT,0,15,DUP
BKBMERMK,1,BKBM_RM_PARENT,0,15,DUP
BKBMMSTR,1,BKBM_PARENT,0,15,DUP
BKBMNOTE,1,BKBM_NT_PARENT,0,15,DUP
BKBMREMK,1,BKBM_RM_PARENT,0,15,DUP
BKBMSUMM,1,BKBM_PARENT,0,15,DUP
BKCMACCC,1,BKCM_ACCC_CCODE,0,5,DUP
BKCMACCL,1,BKCM_ACCL_CODE,0,10,DUP
BKCMACCN,1,BKCM_ACCN_CODE,0,10,DUP
BKCMACCT,1,BKCM_ACCT_CODE,0,10,DUP
BKCMACFC,1,BKCM_ACFC_FCODE,0,3,DUP
BKCMACTD,1,BKCM_ACTD_CODE,0,10,DUP
BKCMACTF,1,BKCM_ACTF_CODE,0,10,DUP
BKCMACTH,1,BKCM_ACTH_CODE,0,10,DUP
BKCMCNTD,1,BKCM_CNTD_TTLE1,0,25,DUP
BKCMCTL1,1,BKCM_CTRL_USER,0,10,DUP
