file,path,gen,module,module_name
ABICHECK.RTM,ABICHECK.RTM,Other,ABICHE,
act6lbl1.rtm,act6lbl1.rtm,Other,ACT6LB,
act6wlbl.rtm,act6wlbl.rtm,Other,ACT6WL,
act6wlbl1.rtm,act6wlbl1.rtm,Other,ACT6WL,
acT6WOS2.rtm,acT6WOS2.rtm,Other,ACT6WO,
archinv.rtm,archinv.rtm,Other,ARCHIN,
barcode1.rtm,barcode1.rtm,Other,BARCOD,
BKAPH1.RTM,BKAPH1.RTM,BK,AP,Accounts Payable
BKAPH2.RTM,BKAPH2.RTM,BK,AP,Accounts Payable
BKAPHA1.RTM,BKAPHA1.RTM,BK,AP,Accounts Payable
BKAPHA103009.RTM,BKAPHA103009.RTM,BK,AP,Accounts Payable
BKAPHA2.RTM,BKAPHA2.RTM,BK,AP,Accounts Payable
BKAPHA3.RTM,BKAPHA3.RTM,BK,AP,Accounts Payable
BKAPHA4.RTM,BKAPHA4.RTM,BK,AP,Accounts Payable
bkaphar1.rtm,bkaphar1.rtm,BK,AP,Accounts Payable
BKAPM1.RTM,BKAPM1.RTM,BK,AP,Accounts Payable
BKAPM2.RTM,BKAPM2.RTM,BK,AP,Accounts Payable
BKAPM3.RTM,BKAPM3.RTM,BK,AP,Accounts Payable
BKAPM4.RTM,BKAPM4.RTM,BK,AP,Accounts Payable
BKAPS1.RTM,BKAPS1.RTM,BK,AP,Accounts Payable
bkaps2.rtm,bkaps2.rtm,BK,AP,Accounts Payable
BKAPS3.RTM,BKAPS3.RTM,BK,AP,Accounts Payable
BKARE1.RTM,BKARE1.RTM,BK,AR,Accounts Receivable
BKARE2.RTM,BKARE2.RTM,BK,AR,Accounts Receivable
BKARE3.RTM,BKARE3.RTM,BK,AR,Accounts Receivable
Bkare4.rtm,Bkare4.rtm,BK,AR,Accounts Receivable
BKARG.RTM,BKARG.RTM,BK,AR,Accounts Receivable
BKARI1.RTM,BKARI1.RTM,BK,AR,Accounts Receivable
BKARI2.RTM,BKARI2.RTM,BK,AR,Accounts Receivable
BKARI3.RTM,BKARI3.RTM,BK,AR,Accounts Receivable
BKARI4.RTM,BKARI4.RTM,BK,AR,Accounts Receivable
BKARP1.RTM,BKARP1.RTM,BK,AR,Accounts Receivable
BKARPL1.RTM,BKARPL1.RTM,BK,AR,Accounts Receivable
BKAWC1.RTM,BKAWC1.RTM,BK,AW,
BKAWC2.RTM,BKAWC2.RTM,BK,AW,
bkawc3.rtm,bkawc3.rtm,BK,AW,
BKAWE1.RTM,BKAWE1.RTM,BK,AW,
BKAWE2.RTM,BKAWE2.RTM,BK,AW,
BKBOL1.rtm,BKBOL1.rtm,BK,BO,
BKCMBD1.RTM,BKCMBD1.RTM,BK,CM,Contact Master
BKCMBD2.RTM,BKCMBD2.RTM,BK,CM,Contact Master
BKCMBD3.RTM,BKCMBD3.RTM,BK,CM,Contact Master
BKCMBI1.RTM,BKCMBI1.RTM,BK,CM,Contact Master
BKDCE.RTM,BKDCE.RTM,BK,DC,Data Collection
BKDCF.RTM,BKDCF.RTM,BK,DC,Data Collection
BKDCG1.RTM,BKDCG1.RTM,BK,DC,Data Collection
BKDCG2.RTM,BKDCG2.RTM,BK,DC,Data Collection
BKESD1.RTM,BKESD1.RTM,BK,ES,Estimates
BKESD2.RTM,BKESD2.RTM,BK,ES,Estimates
BKESD3.RTM,BKESD3.RTM,BK,ES,Estimates
BKESD4.RTM,BKESD4.RTM,BK,ES,Estimates
BKING1.RTM,BKING1.RTM,BK,IN,Inventory
BKING2.RTM,BKING2.RTM,BK,IN,Inventory
BKING3.RTM,BKING3.RTM,BK,IN,Inventory
BKING42.RTM,BKING42.RTM,BK,IN,Inventory
bking43.RTM,bking43.RTM,BK,IN,Inventory
BKING44.RTM,BKING44.RTM,BK,IN,Inventory
Bking5.RTM,Bking5.RTM,BK,IN,Inventory
bkinlj1.rtm,bkinlj1.rtm,BK,IN,Inventory
BKISWCE1.RTM,BKISWCE1.RTM,BK,IS,
bkpica1.RTM,bkpica1.RTM,BK,PI,Physical Inventory
BKPOB1.RTM,BKPOB1.RTM,BK,PO,Purchase Orders
BKPOB2.RTM,BKPOB2.RTM,BK,PO,Purchase Orders
BKPOB3.RTM,BKPOB3.RTM,BK,PO,Purchase Orders
BKPOB3V.rtm,BKPOB3V.rtm,BK,PO,Purchase Orders
BKPOB4.RTM,BKPOB4.RTM,BK,PO,Purchase Orders
BKPOB4O.rtm,BKPOB4O.rtm,BK,PO,Purchase Orders
BKPOB5.RTM,BKPOB5.RTM,BK,PO,Purchase Orders
Bkpoe1.RTM,Bkpoe1.RTM,BK,PO,Purchase Orders
Bkpoe2.RTM,Bkpoe2.RTM,BK,PO,Purchase Orders
bkpoia1.RTM,bkpoia1.RTM,BK,PO,Purchase Orders
bkpoia2.RTM,bkpoia2.RTM,BK,PO,Purchase Orders
bkpoib1.RTM,bkpoib1.RTM,BK,PO,Purchase Orders
bkpoib2.RTM,bkpoib2.RTM,BK,PO,Purchase Orders
bkpoie1.RTM,bkpoie1.RTM,BK,PO,Purchase Orders
bkpoie1v.RTM,bkpoie1v.RTM,BK,PO,Purchase Orders
bkpoie2.RTM,bkpoie2.RTM,BK,PO,Purchase Orders
bkpoif1.RTM,bkpoif1.RTM,BK,PO,Purchase Orders
bkpoif2.RTM,bkpoif2.RTM,BK,PO,Purchase Orders
BKPOJA1.RTM,BKPOJA1.RTM,BK,PO,Purchase Orders
BKPOJA2.RTM,BKPOJA2.RTM,BK,PO,Purchase Orders
Bkprd1.RTM,Bkprd1.RTM,BK,PR,Payroll
BKPRD2.RTM,BKPRD2.RTM,BK,PR,Payroll
BKPRD4.RTM,BKPRD4.RTM,BK,PR,Payroll
Bkprlf1.rtm,Bkprlf1.rtm,BK,PR,Payroll
BKPRLG1.RTM,BKPRLG1.RTM,BK,PR,Payroll
BKPRLI.RTM,BKPRLI.RTM,BK,PR,Payroll
BKPRLI2.rtm,BKPRLI2.rtm,BK,PR,Payroll
BKRMA1.RTM,BKRMA1.RTM,BK,RM,RMA
BKSAM1.RTM,BKSAM1.RTM,BK,SA,Sales Analysis
BKSAM1c.rtm,BKSAM1c.rtm,BK,SA,Sales Analysis
BKSAM1L.RTM,BKSAM1L.RTM,BK,SA,Sales Analysis
BKSAN1.RTM,BKSAN1.RTM,BK,SA,Sales Analysis
