caller,template_filename,callee_basename,is_self_ref
ABICHECK.RTM,Q:\ABICHECK.RTM,ABICHECK.RTM,True
ABICHECK.RTM,Q:\Abicheck.rtm,ABICHECK.RTM,True
BKAPH1.RTM,C:\DBAMFG\BKAPH1.RTM,BKAPH1.RTM,True
BKAPH1.RTM,C:\DBAMFG\BKAPH1.RTM,BKAPH1.RTM,True
BKAPH2.RTM,C:\DBAMFG\bkaph2.RTM,BKAPH2.RTM,True
BKAPHA1.RTM,C:\DBAMFG\BKAPHA4.RTM,BKAPHA4.RTM,False
BKAPHA1.RTM,\\I2s44-hapi\dbamfg$\BKAPHA1-TEST.RTM,BKAPHA1-TEST.RTM,False
BKAPHA1.RTM,\\I2s44-hapi\dbamfg$\BKAPHA1-TEST.RTM,BKAPHA1-TEST.RTM,False
BKAPHA103009.RTM,T:\BKAPHA1.RTM,BKAPHA1.RTM,False
BKAPHA2.RTM,C:\DBAMFG\BKAPHA2.RTM,BKAPHA2.RTM,True
BKAPHA2.RTM,C:\DBAMFG\BKAPHA2.RTM,BKAPHA2.RTM,True
BKAPHA2.RTM,C:\DBAMFG\BKAPHA2.RTM,BKAPHA2.RTM,True
BKAPHA3.RTM,C:\DBAMFG\BKAPHA3.RTM,BKAPHA3.RTM,True
BKAPHA3.RTM,C:\DBAMFG\BKAPHA3.RTM,BKAPHA3.RTM,True
BKAPHA3.RTM,C:\DBAMFG\BKAPHA3.RTM,BKAPHA3.RTM,True
BKAPHA4.RTM,C:\DBAMFG\BKAPHA4.RTM,BKAPHA4.RTM,True
BKAPHA4.RTM,\\I2s44-hapi\dbamfg$\BKAPHA1-TEST.RTM,BKAPHA1-TEST.RTM,False
BKAPHA4.RTM,\\I2s44-hapi\dbamfg$\BKAPHA1-TEST.RTM,BKAPHA1-TEST.RTM,False
BKAPM1.RTM,C:\DBAMFG\bkapm1.rtm,BKAPM1.RTM,True
BKAPM2.RTM,C:\DBAMFG\bkapm2.rtm,BKAPM2.RTM,True
BKAPM3.RTM,C:\DBAMFG\bkapm3.rtm,BKAPM3.RTM,True
BKAPM4.RTM,C:\DBAMFG\bkapm4.rtm,BKAPM4.RTM,True
