file,property,value
ABICHECK.RTM,DataField,BKAP_CHK_AMTPD
ABICHECK.RTM,DataField,BKAP_CHK_DISC
ABICHECK.RTM,DataField,BKAP_CHK_INVDTE
ABICHECK.RTM,DataField,BKAP_CHK_INVNUM
ABICHECK.RTM,DataField,BKAP_VENDNAME
ABICHECK.RTM,DataField,CHK_AMT_DOL
ABICHECK.RTM,DataField,CHK_DATE
ABICHECK.RTM,DataField,CHK_NUM
ABICHECK.RTM,DataField,PRT_ADD1
ABICHECK.RTM,DataField,PRT_ADD2
ABICHECK.RTM,DataField,PRT_COUNTRY
ABICHECK.RTM,DataField,PRT_CSZ
ABICHECK.RTM,DataField,REP2
ABICHECK.RTM,DataField,TOT_AMT
act6lbl1.rtm,DataField,BKQC.PO.NUM{6}
act6lbl1.rtm,DataField,BKQC.RECVR.NUM
act6lbl1.rtm,DataField,BKQC.RECVR.NUM{6}
act6lbl1.rtm,DataField,LOT
act6lbl1.rtm,DataField,MTIC.PROD.CODE{15}
act6lbl1.rtm,DataField,MTIC.PROD.LOC{10}
act6lbl1.rtm,DataField,bkap.po.num
act6lbl1.rtm,DataField,bkic.prod.desc
act6lbl1.rtm,DataField,bkic.prod.note
act6lbl1.rtm,DataField,qty
act6wlbl.rtm,DataField,DS
act6wlbl.rtm,DataField,MTIC.PROD.LOC
act6wlbl.rtm,DataField,WOBOM.COMPCODE{15}
act6wlbl.rtm,DataField,WOBOM.COMPDESC{30}
act6wlbl.rtm,DataField,WOBOM.QTYPER{16}
act6wlbl.rtm,DataField,WOBOM.REFERENCE{20}
act6wlbl.rtm,DataField,WOBOM.TOTQTY{14}
act6wlbl.rtm,DataField,bkbm.rm.remark[1]
act6wlbl.rtm,DataField,bkic.prod.note
act6wlbl.rtm,DataField,from.wonum
act6wlbl1.rtm,DataField,MTIC.PROD.CODE{15}
act6wlbl1.rtm,DataField,WOBOM.COMPCODE{15}
act6wlbl1.rtm,DataField,bkic.prod.note
acT6WOS2.rtm,DataField,BKAR.INV.CUSCOD
acT6WOS2.rtm,DataField,BKAR.INV.SONUM
acT6WOS2.rtm,DataField,BKIC.PROD.CODE
acT6WOS2.rtm,DataField,BKIC.PROD.DESC
acT6WOS2.rtm,DataField,BKIC.PROD.NOTE
acT6WOS2.rtm,DataField,BKIC.PROD.UM
acT6WOS2.rtm,DataField,MTWO.WIP.PRTY
acT6WOS2.rtm,DataField,MTWO.WIP.SFIN
acT6WOS2.rtm,DataField,MTWO.WIP.SSTART
acT6WOS2.rtm,DataField,copy
acT6WOS2.rtm,DataField,mtwo.wip.wopre
acT6WOS2.rtm,DataField,mtwo.wip.wosuf
acT6WOS2.rtm,DataField,temp.both
archinv.rtm,DataField,A.BOQ
archinv.rtm,DataField,A.LOTQ
archinv.rtm,DataField,A.SHQ
archinv.rtm,DataField,BK.DESC.NOTES
archinv.rtm,DataField,BKAR.INV.CUSCOD
archinv.rtm,DataField,BKAR.INV.CUSNME
archinv.rtm,DataField,BKAR.INV.CUSORD
archinv.rtm,DataField,BKAR.INV.DESC{30}
archinv.rtm,DataField,BKAR.INV.FOB
archinv.rtm,DataField,BKAR.INV.ORDDTE
archinv.rtm,DataField,BKAR.INV.SHIPDT
archinv.rtm,DataField,BKAR.INV.SHPNME
archinv.rtm,DataField,BKAR.INV.SHPVIA{15}
archinv.rtm,DataField,BKAR.INV.SONUM
archinv.rtm,DataField,BKAR.INV.TAXABL
archinv.rtm,DataField,BKAR.INV.TRACK{40}
archinv.rtm,DataField,BKAR.INVL.PCODE
archinv.rtm,DataField,BKAR.INVL.PDESC
archinv.rtm,DataField,BKAR.INVL.PDISC
archinv.rtm,DataField,BKAR.INVL.UM.LN[1]
archinv.rtm,DataField,BKAR.INVL.UM.LN[2]
archinv.rtm,DataField,BKAR.TXN.LOT
archinv.rtm,DataField,BKAR.TXN.SERIAL
archinv.rtm,DataField,CUST.BILL.TO[1]
archinv.rtm,DataField,CUST.BILL.TO[2]
archinv.rtm,DataField,CUST.BILL.TO[3]
archinv.rtm,DataField,CUST.BILL.TO[4]
archinv.rtm,DataField,CUST.BILL.TO[5]
archinv.rtm,DataField,CUST.SHIP.TO[1]
archinv.rtm,DataField,CUST.SHIP.TO[2]
archinv.rtm,DataField,CUST.SHIP.TO[3]
archinv.rtm,DataField,CUST.SHIP.TO[4]
archinv.rtm,DataField,CUST.SHIP.TO[5]
archinv.rtm,DataField,DEPOSIT
archinv.rtm,DataField,EXTENDED
archinv.rtm,DataField,FREIGHT
archinv.rtm,DataField,INVNUM_ALPHA
archinv.rtm,DataField,IS.OECO.DRAW
archinv.rtm,DataField,IS.OECO.ECO
archinv.rtm,DataField,IS.OECO.ENTDATE
archinv.rtm,DataField,IS.OECO.REVLVL
archinv.rtm,DataField,PTD.ARRAY[1]
archinv.rtm,DataField,PTD.ARRAY[2]
archinv.rtm,DataField,PTD.ARRAY[3]
archinv.rtm,DataField,RETENTION
archinv.rtm,DataField,SUB.TOT
archinv.rtm,DataField,TAX
archinv.rtm,DataField,TODAYS.DATE
archinv.rtm,DataField,TOTAL
archinv.rtm,DataField,TOTAL.SHIP.WT
archinv.rtm,DataField,UNIT.PRICE2
archinv.rtm,DataField,UNIT.PRICE2DEC
archinv.rtm,DataField,bkic.ref.cuscod
archinv.rtm,DataField,bkic.ref.desc
archinv.rtm,DataField,carton.qty
archinv.rtm,DataField,fax2
archinv.rtm,DataField,is.ship.shpnme
archinv.rtm,DataField,nodisc.pext
archinv.rtm,DataField,nodisc.subtot
archinv.rtm,DataField,nodisc.total
archinv.rtm,DataField,partial.qty
archinv.rtm,DataField,phone2
archinv.rtm,DataField,prt.box
archinv.rtm,DataField,prt.ship.co
archinv.rtm,DataField,prt.track
archinv.rtm,DataField,sBKAR.INV.TERMD
archinv.rtm,DataField,total.disc
barcode1.rtm,DataField,barcode1
barcode1.rtm,DataField,barcode2
BKAPH1.RTM,DataField,BKAP_CHK_AMTPD
BKAPH1.RTM,DataField,BKAP_CHK_DISC
BKAPH1.RTM,DataField,BKAP_CHK_INVDTE
BKAPH1.RTM,DataField,BKAP_CUST_CODE
BKAPH1.RTM,DataField,BKAP_VENDNAME
BKAPH1.RTM,DataField,CHECK_INVNUM
BKAPH1.RTM,DataField,CHK_AMT_DOL
BKAPH1.RTM,DataField,CHK_D1
BKAPH1.RTM,DataField,CHK_D2
BKAPH1.RTM,DataField,CHK_DATE
BKAPH1.RTM,DataField,CHK_M1
BKAPH1.RTM,DataField,CHK_M2
BKAPH1.RTM,DataField,CHK_NUM
BKAPH1.RTM,DataField,CHK_Y1
BKAPH1.RTM,DataField,CHK_Y2
BKAPH1.RTM,DataField,CHK_Y3
BKAPH1.RTM,DataField,CHK_Y4
BKAPH1.RTM,DataField,LINE_DESC
BKAPH1.RTM,DataField,PRT_ADD1
BKAPH1.RTM,DataField,PRT_ADD2
BKAPH1.RTM,DataField,PRT_COUNTRY
BKAPH1.RTM,DataField,PRT_CSZ
BKAPH1.RTM,DataField,REP2
BKAPH1.RTM,DataField,TOT_AMT
BKAPH1.RTM,DataField,TOT_DAMT
BKAPH1.RTM,DataField,TOT_RAMT
BKAPH1.RTM,DataField,TOT_TOT
BKAPH2.RTM,DataField,BKAP_CHK_AMTPD
BKAPH2.RTM,DataField,BKAP_CHK_DISC
BKAPH2.RTM,DataField,BKAP_CHK_INVDTE
BKAPH2.RTM,DataField,BKAP_CHK_INVNUM
BKAPH2.RTM,DataField,BKAP_CUST_CODE
BKAPH2.RTM,DataField,BKAP_VENDNAME
BKAPH2.RTM,DataField,CHK_AMT_DOL
BKAPH2.RTM,DataField,CHK_D1
BKAPH2.RTM,DataField,CHK_D2
BKAPH2.RTM,DataField,CHK_DATE
BKAPH2.RTM,DataField,CHK_M1
BKAPH2.RTM,DataField,CHK_M2
BKAPH2.RTM,DataField,CHK_NUM
BKAPH2.RTM,DataField,CHK_Y1
BKAPH2.RTM,DataField,CHK_Y2
BKAPH2.RTM,DataField,CHK_Y3
BKAPH2.RTM,DataField,CHK_Y4
BKAPH2.RTM,DataField,LINE_DESC
BKAPH2.RTM,DataField,PRT_ADD1
BKAPH2.RTM,DataField,PRT_ADD2
BKAPH2.RTM,DataField,PRT_COUNTRY
BKAPH2.RTM,DataField,PRT_CSZ
BKAPH2.RTM,DataField,REP2
BKAPH2.RTM,DataField,TOT_AMT
BKAPH2.RTM,DataField,TOT_DAMT
BKAPH2.RTM,DataField,TOT_RAMT
BKAPH2.RTM,DataField,TOT_TOT
BKAPHA1.RTM,DataField,BKAP_CHK_AMTPD
BKAPHA1.RTM,DataField,BKAP_CHK_DISC
BKAPHA1.RTM,DataField,BKAP_CHK_INVDTE
BKAPHA1.RTM,DataField,BKAP_CUST_CODE
BKAPHA1.RTM,DataField,BKAP_VENDNAME
BKAPHA1.RTM,DataField,CHECK_INVNUM
BKAPHA1.RTM,DataField,CHK_AMT_DOL
BKAPHA1.RTM,DataField,CHK_DATE
BKAPHA1.RTM,DataField,CHK_NUM
BKAPHA1.RTM,DataField,PRT_ADD1
BKAPHA1.RTM,DataField,PRT_ADD2
BKAPHA1.RTM,DataField,PRT_COUNTRY
BKAPHA1.RTM,DataField,PRT_CSZ
BKAPHA1.RTM,DataField,REP2
BKAPHA1.RTM,DataField,TOT_AMT
BKAPHA1.RTM,DataField,TOT_DAMT
BKAPHA1.RTM,DataField,TOT_RAMT
BKAPHA1.RTM,DataField,TOT_TOT
BKAPHA103009.RTM,DataField,BKAP_CHK_AMTPD
BKAPHA103009.RTM,DataField,BKAP_CHK_DISC
BKAPHA103009.RTM,DataField,CHECK_INVNUM
BKAPHA103009.RTM,DataField,TOT_AMT
BKAPHA2.RTM,DataField,BKAP_CHK_AMTPD
BKAPHA2.RTM,DataField,BKAP_CHK_DISC
BKAPHA2.RTM,DataField,BKAP_CHK_INVDTE
BKAPHA2.RTM,DataField,BKAP_CUST_CODE
BKAPHA2.RTM,DataField,BKAP_VENDNAME
BKAPHA2.RTM,DataField,CHECK_INVNUM
BKAPHA2.RTM,DataField,CHK_AMT_DOL
BKAPHA2.RTM,DataField,CHK_D1
BKAPHA2.RTM,DataField,CHK_D2
BKAPHA2.RTM,DataField,CHK_DATE
BKAPHA2.RTM,DataField,CHK_M1
BKAPHA2.RTM,DataField,CHK_M2
BKAPHA2.RTM,DataField,CHK_NUM
BKAPHA2.RTM,DataField,CHK_Y1
BKAPHA2.RTM,DataField,CHK_Y2
BKAPHA2.RTM,DataField,CHK_Y3
BKAPHA2.RTM,DataField,CHK_Y4
BKAPHA2.RTM,DataField,LINE_DESC
BKAPHA2.RTM,DataField,PRT_ADD1
BKAPHA2.RTM,DataField,PRT_ADD2
BKAPHA2.RTM,DataField,PRT_COUNTRY
BKAPHA2.RTM,DataField,PRT_CSZ
BKAPHA2.RTM,DataField,REP2
BKAPHA2.RTM,DataField,TOT_AMT
BKAPHA2.RTM,DataField,TOT_DAMT
BKAPHA2.RTM,DataField,TOT_RAMT
BKAPHA2.RTM,DataField,TOT_TOT
BKAPHA3.RTM,DataField,BKAP_CHK_AMTPD
BKAPHA3.RTM,DataField,BKAP_CHK_DISC
BKAPHA3.RTM,DataField,BKAP_CHK_INVDTE
BKAPHA3.RTM,DataField,BKAP_CUST_CODE
BKAPHA3.RTM,DataField,BKAP_VENDNAME
BKAPHA3.RTM,DataField,CHECK_INVNUM
BKAPHA3.RTM,DataField,CHK_AMT_DOL
BKAPHA3.RTM,DataField,CHK_D1
BKAPHA3.RTM,DataField,CHK_D2
BKAPHA3.RTM,DataField,CHK_DATE
BKAPHA3.RTM,DataField,CHK_M1
BKAPHA3.RTM,DataField,CHK_M2
BKAPHA3.RTM,DataField,CHK_NUM
BKAPHA3.RTM,DataField,CHK_Y1
BKAPHA3.RTM,DataField,CHK_Y2
BKAPHA3.RTM,DataField,CHK_Y3
BKAPHA3.RTM,DataField,CHK_Y4
BKAPHA3.RTM,DataField,LINE_DESC
BKAPHA3.RTM,DataField,PRT_ADD1
BKAPHA3.RTM,DataField,PRT_ADD2
BKAPHA3.RTM,DataField,PRT_COUNTRY
BKAPHA3.RTM,DataField,PRT_CSZ
BKAPHA3.RTM,DataField,REP2
BKAPHA3.RTM,DataField,TOT_AMT
BKAPHA3.RTM,DataField,TOT_DAMT
BKAPHA3.RTM,DataField,TOT_RAMT
BKAPHA3.RTM,DataField,TOT_TOT
BKAPHA4.RTM,DataField,BKAP_CHK_AMTPD
BKAPHA4.RTM,DataField,BKAP_CHK_DISC
BKAPHA4.RTM,DataField,BKAP_CHK_INVDTE
BKAPHA4.RTM,DataField,BKAP_CUST_CODE
BKAPHA4.RTM,DataField,BKAP_VENDNAME
BKAPHA4.RTM,DataField,CHECK_INVNUM
BKAPHA4.RTM,DataField,CHK_AMT_DOL
BKAPHA4.RTM,DataField,CHK_DATE
BKAPHA4.RTM,DataField,CHK_NUM
BKAPHA4.RTM,DataField,PRT_ADD1
BKAPHA4.RTM,DataField,PRT_ADD2
BKAPHA4.RTM,DataField,PRT_COUNTRY
BKAPHA4.RTM,DataField,PRT_CSZ
BKAPHA4.RTM,DataField,REP2
BKAPHA4.RTM,DataField,TOT_AMT
BKAPHA4.RTM,DataField,TOT_DAMT
BKAPHA4.RTM,DataField,TOT_RAMT
BKAPHA4.RTM,DataField,TOT_TOT
bkaphar1.rtm,DataField,BKAP_CHK_AMTPD
bkaphar1.rtm,DataField,BKAP_CHK_DISC
bkaphar1.rtm,DataField,BKAP_CHK_INVDTE
bkaphar1.rtm,DataField,BKAP_CUST_CODE
bkaphar1.rtm,DataField,BKAP_VENDNAME
bkaphar1.rtm,DataField,BKSY_COMP_NAME
bkaphar1.rtm,DataField,CHECK_INVNUM
bkaphar1.rtm,DataField,CHK_AMT_DOL
bkaphar1.rtm,DataField,CHK_D1
bkaphar1.rtm,DataField,CHK_D2
bkaphar1.rtm,DataField,CHK_DATE
bkaphar1.rtm,DataField,CHK_M1
bkaphar1.rtm,DataField,CHK_M2
bkaphar1.rtm,DataField,CHK_NUM
bkaphar1.rtm,DataField,CHK_Y1
bkaphar1.rtm,DataField,CHK_Y2
bkaphar1.rtm,DataField,CHK_Y3
bkaphar1.rtm,DataField,CHK_Y4
bkaphar1.rtm,DataField,LINE_DESC
bkaphar1.rtm,DataField,PRT_ADD1
bkaphar1.rtm,DataField,PRT_ADD2
bkaphar1.rtm,DataField,PRT_COUNTRY
bkaphar1.rtm,DataField,PRT_CSZ
bkaphar1.rtm,DataField,TOT_AMT
bkaphar1.rtm,DataField,tchk_gtotal
BKAPM1.RTM,DataField,ADD1[1]
BKAPM1.RTM,DataField,ADD2[1]
BKAPM1.RTM,DataField,COMPANY[1]
BKAPM1.RTM,DataField,CONTACT[1]
BKAPM1.RTM,DataField,CSZ[1]
BKAPM2.RTM,DataField,ADD1[1]
BKAPM2.RTM,DataField,ADD2[1]
BKAPM2.RTM,DataField,COMPANY[1]
BKAPM2.RTM,DataField,CONTACT[1]
BKAPM2.RTM,DataField,CSZ[1]
BKAPM3.RTM,DataField,ADD1[1]
BKAPM3.RTM,DataField,ADD2[1]
BKAPM3.RTM,DataField,COMPANY[1]
BKAPM3.RTM,DataField,CONTACT[1]
BKAPM3.RTM,DataField,CSZ[1]
BKAPM4.RTM,DataField,ADD1[1]
BKAPM4.RTM,DataField,ADD2[1]
BKAPM4.RTM,DataField,COMPANY[1]
BKAPM4.RTM,DataField,CONTACT[1]
BKAPM4.RTM,DataField,CSZ[1]
BKAPS1.RTM,DataField,ATTORNEY
BKAPS1.RTM,DataField,BKSY_COMP_ADD1
BKAPS1.RTM,DataField,BKSY_COMP_ADD2
BKAPS1.RTM,DataField,BKSY_COMP_CSZ
BKAPS1.RTM,DataField,BKSY_COMP_NAME
BKAPS1.RTM,DataField,BLANK
BKAPS1.RTM,DataField,CROP
BKAPS1.RTM,DataField,FISH
BKAPS1.RTM,DataField,MEDICAL
BKAPS1.RTM,DataField,NONEMP
BKAPS1.RTM,DataField,PARACHUTE
BKAPS1.RTM,DataField,PAYER_ID
BKAPS1.RTM,DataField,PRIZE
BKAPS1.RTM,DataField,RECIP[1]
BKAPS1.RTM,DataField,RECIP[2]
